ise_mt,Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
,08/02/21,AMEX,B,P,250,SE,SE,10,2021,270,15.95,O,N,229079352,,E35J,362,10,792,oscarg,oscarg,,,,,,Y,,,N,0.1,25,62.5,0,87.5,168054692
,08/03/21,AMEX,B,P,300,FCX,FCX,3,2022,30,2.35,O,N,229134613,,E35J,362,10,792,oscarg,oscarg,,,,,,Y,,,N,0.1,30,75,0,105,168103608
,08/03/21,AMEX,B,P,525,PINS,PINS,1,2022,55,6.25,C,P,229150263,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,52.5,131.25,0,183.75,168055907
,08/03/21,AMEX,S,C,2,SPOT,SPOT,10,2021,230,9.44,C,C,CO41H7LP170,BLPOPT_20210803-00191-00001LSPOTOCT230C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,,,,A,0.1,0.2,0,0.04,0.24,168107710
,08/03/21,AMEX,B,P,2,SPOT,SPOT,10,2021,230,23.34,O,C,CO41H7LP170,BLPOPT_20210803-00191-00001BSPOTOCT230P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,,,,A,0.1,0.2,0,0.04,0.24,168116107
,08/03/21,AMEX,B,P,550,UBER,UBER,1,2023,37,5.45,C,C,229125463,,E35J,,273,792,oscarg,oscarg,,,,,,Y,,,N,0.1,55,0,0,55,168073111
,08/03/21,AMEX,S,C,1000,XLV,XLV,1,2023,145,5.3,C,C,229169593,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,C,0.1,100,0,0,100,168126086
,08/03/21,AMEX,S,C,250,XLV,XLV,1,2023,145,5.3,C,C,229169593,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,C,0.1,25,0,0,25,168165780
,08/03/21,AMEX,S,C,200,XLV,XLV,1,2023,145,5.3,C,C,229169593,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,C,0.1,20,0,0,20,168124812
,08/03/21,AMEX,B,C,1000,XLV,XLV,1,2023,145,5.3,C,P,229169603,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,C,0.1,100,0,0,100,168125623
,08/04/21,AMEX,B,P,250,GM,GM,11,2021,52.5,3.6,C,C,229218724,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,N,0.1,25,0,0,25,168360685
,08/04/21,AMEX,B,P,350,IWN,IWN,1,2023,150,15,C,P,229211154,,E35J,,444,792,oscarg,oscarg,,,,,etf,,,,N,0.1,35,87.5,0,122.5,168270432
,08/04/21,AMEX,B,P,400,IWN,IWN,1,2023,150,15,C,P,229212794,,E35J,,444,792,oscarg,oscarg,,,,,etf,,,,N,0.1,40,100,0,140,168270441
,08/04/21,AMEX,S,P,80,MRNA,MRNA,10,2021,150,0.85,C,P,229211004,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,8,20,0,28,168292798
,08/04/21,AMEX,B,C,400,SPY,SPY,8,2021,443,2.52,C,C,229205294,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,40,0,0,40,168582308
,08/04/21,AMEX,B,C,100,SPY,SPY,8,2021,443,2.52,C,C,229205294,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,10,0,0,10,168582270
,08/04/21,AMEX,S,C,400,SPY,SPY,8,2021,445,1.66,C,C,229205294,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,40,0,0,40,168608789
,08/04/21,AMEX,S,C,100,SPY,SPY,8,2021,445,1.66,C,C,229205294,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,10,0,0,10,168608856
,08/04/21,AMEX,S,C,400,SPY,SPY,8,2021,448,0.81,C,C,229205294,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,40,0,0,40,168608964
,08/04/21,AMEX,S,C,100,SPY,SPY,8,2021,448,0.81,C,C,229205294,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,N,0.1,10,0,0,10,168608939
,08/04/21,AMEX,S,C,850,UBER,UBER,11,2021,47.5,2.06,C,P,229208134,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,85,212.5,0,297.5,168291703
,08/04/21,AMEX,B,P,1700,UBER,UBER,12,2021,37.5,2.48,C,P,229208134,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,170,425,0,595,168360936
,08/04/21,AMEX,B,P,75,V,V,1,2023,175,7.5,C,P,229268954,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,7.5,18.75,0,26.25,168361165
,08/05/21,AMEX,B,P,200,ATVI,ATVI,2,2022,75,4.95,C,P,229295845,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,N,0.1,20,50,0,70,168517635
,08/05/21,AMEX,B,P,50,CF,CF,1,2023,40,5.42,C,F,229305745,,E35J,,10,792,oscarg,oscarg,,,,,,,,,N,0.1,5,12.5,0,17.5,168591707
,08/05/21,AMEX,B,P,400,DIS,DIS,6,2022,145,5.75,O,N,229289365,,E35J,362,10,792,oscarg,oscarg,,,,,,Y,,,N,0.1,40,100,0,140,168606541
,08/05/21,AMEX,S,C,400,DIS,DIS,6,2022,220,4.65,O,N,229289365,,E35J,362,10,792,oscarg,oscarg,,,,,,Y,,,N,0.1,40,100,0,140,168609495
,08/05/21,AMEX,B,P,100,K,K,3,2022,60,3.25,C,F,229285235,,E35J,,10,792,oscarg,oscarg,,,,,,,,,N,0.1,10,25,0,35,168537290
,08/05/21,AMEX,B,P,505,KWEB,KWEB,1,2023,50,9.6,C,C,229354595,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,N,0.1,50.5,0,0,50.5,168534685
