Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
01/04/21,AMEX,B,P,200 ,FB,FB,3,2021 ,265.00,16.75 ,C,B,214474294,,E35J,,284,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,20.00 ,50.00 ,0.00 ,70.00 ,130114574 
01/04/21,AMEX,S,P,1350 ,GDX,GDX,6,2021 ,30.00,0.86 ,C,P,214455434,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,C,0.100 ,135.00 ,0.00 ,0.00 ,135.00 ,130077727 
01/04/21,AMEX,S,C,1350 ,GDX,GDX,6,2021 ,45.00,1.89 ,C,P,214455434,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,C,0.100 ,135.00 ,0.00 ,0.00 ,135.00 ,130077866 
01/04/21,AMEX,S,P,1350 ,GDX,GDX,1,2022 ,30.00,2.20 ,C,P,214455504,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,C,0.100 ,135.00 ,0.00 ,0.00 ,135.00 ,130077717 
01/04/21,AMEX,S,C,1350 ,GDX,GDX,1,2022 ,45.00,3.70 ,C,P,214455504,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,C,0.100 ,135.00 ,0.00 ,0.00 ,135.00 ,130077685 
01/04/21,AMEX,S,C,500 ,IFF,IFF,2,2021 ,150.00,0.92 ,C,P,214455844,,E35J,,444,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130073071 
01/04/21,AMEX,S,C,500 ,IFF,IFF,2,2021 ,150.00,0.10 ,C,P,214484424,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130137157 
01/04/21,AMEX,B,C,500 ,IFF,IFF,2,2021 ,150.00,0.10 ,C,F,214484844,,E35J,,353,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130136920 
01/04/21,AMEX,S,C,500 ,IFF,IFF,2,2021 ,150.00,0.10 ,C,P,214485024,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130140940 
01/04/21,AMEX,B,C,500 ,IFF,IFF,2,2021 ,150.00,0.10 ,C,F,214485114,,E35J,,353,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130140555 
01/04/21,AMEX,B,P,500 ,IFF,IFF,2,2021 ,150.00,47.00 ,C,P,214455844,,E35J,,444,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130072614 
01/04/21,AMEX,B,P,500 ,IFF,IFF,2,2021 ,150.00,46.95 ,C,P,214484424,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130136854 
01/04/21,AMEX,S,P,500 ,IFF,IFF,2,2021 ,150.00,46.95 ,C,F,214484844,,E35J,,353,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130137076 
01/04/21,AMEX,B,P,500 ,IFF,IFF,2,2021 ,150.00,46.95 ,C,P,214485024,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130140582 
01/04/21,AMEX,S,P,500 ,IFF,IFF,2,2021 ,150.00,46.95 ,C,F,214485114,,E35J,,353,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130140997 
01/04/21,AMEX,S,P,600 ,IWM,IWM,2,2021 ,160.00,1.46 ,C,C,214452944,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,60.00 ,0.00 ,0.00 ,60.00 ,130146825 
01/04/21,AMEX,S,P,150 ,IWM,IWM,2,2021 ,160.00,1.46 ,C,C,214452944,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,15.00 ,0.00 ,0.00 ,15.00 ,130146776 
01/04/21,AMEX,S,P,375 ,IWM,IWM,2,2021 ,160.00,1.26 ,C,C,214497054,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,37.50 ,0.00 ,0.00 ,37.50 ,130025065 
01/04/21,AMEX,B,P,400 ,IWM,IWM,2,2021 ,180.00,4.59 ,C,C,214452944,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,40.00 ,0.00 ,0.00 ,40.00 ,130145988 
01/04/21,AMEX,B,P,100 ,IWM,IWM,2,2021 ,180.00,4.59 ,C,C,214452944,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,10.00 ,0.00 ,0.00 ,10.00 ,130146090 
01/04/21,AMEX,B,P,250 ,IWM,IWM,2,2021 ,180.00,4.09 ,C,C,214497054,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,130025020 
01/04/21,AMEX,S,P,300 ,PCAR,PCAR,8,2021 ,70.00,2.50 ,C,P,214466394,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,30.00 ,75.00 ,0.00 ,105.00 ,130102078 
01/04/21,AMEX,S,C,300 ,PCAR,PCAR,8,2021 ,92.50,4.10 ,C,P,214466394,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,30.00 ,75.00 ,0.00 ,105.00 ,130103088 
01/04/21,AMEX,S,P,405 ,YUMC,YUMC,1,2022 ,45.00,3.00 ,C,P,214476044,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,40.50 ,101.25 ,0.00 ,141.75 ,130128845 
01/04/21,AMEX,S,C,405 ,YUMC,YUMC,1,2022 ,62.50,5.00 ,C,P,214476044,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,40.50 ,101.25 ,0.00 ,141.75 ,130128704 
01/05/21,AMEX,S,P,500 ,GDX,GDX,1,2022 ,38.00,5.85 ,C,P,214518935,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130352689 
01/05/21,AMEX,S,C,500 ,GDX,GDX,1,2022 ,40.00,5.43 ,C,P,214518935,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,130352604 
01/05/21,AMEX,B,P,110 ,ROKU,ROKU,6,2022 ,235.00,40.75 ,O,N,214551565,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,11.00 ,27.50 ,0.00 ,38.50 ,130332444 
