MM ID,Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
,02/02/21,AMEX,S,C,4,CHKP,CHKP,2,2021,135,4.5,O,C,O4C05ULP7A,BLPOPT_20210202-00068-00001,E35,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,CLOCK,,,R,0.1,0.4,0,0.18,0.58,136311649
,02/02/21,AMEX,S,C,4,CHKP,CHKP,2,2021,135,4.5,O,C,O4C05ULP7A,BLPOPT_20210202-00068-00001,E35,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,CLOCK,,,R,0.1,0.4,0,0.18,0.58,136374215
,02/02/21,AMEX,S,C,2,CHKP,CHKP,2,2021,135,4.5,O,C,O4C05ULP7A,BLPOPT_20210202-00068-00001,E35,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,CLOCK,,,R,0.1,0.2,0,0.09,0.29,136311679
,02/02/21,AMEX,B,C,1000,DD,DD,2,2021,105,0.09,C,C,216628992,,E35J,226,792,oscarg,oscarg,,,,,,Y,,,,C,0.1,100,0,0,100,136773141
,02/02/21,AMEX,S,P,1000,DD,DD,2,2021,105,32.39,C,C,216628992,,E35J,226,792,oscarg,oscarg,,,,,,Y,,,,C,0.1,100,0,0,100,136772895
,02/02/21,AMEX,S,P,2250,TLT,TLT,3,2021,145,1.07,C,P,216625242,,E35J,444,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.1,225,562.5,0,787.5,136470545
,02/02/21,AMEX,B,P,2250,TLT,TLT,3,2021,150,2.67,C,P,216625242,,E35J,444,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.1,225,562.5,0,787.5,136470020
,02/03/21,AMEX,B,P,200,AIG,AIG,4,2021,40,3.3,C,C,216773293,,E35J,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.1,20,0,0,20,136762969
,02/03/21,AMEX,B,P,75,FTCH,FTCH,7,2021,65,12.33,C,C,216809413,,E35J,551,792,oscarg,oscarg,,,,,,Y,,,,N,0.1,7.5,0,0,7.5,136725384
,02/03/21,AMEX,B,P,38,FTCH,FTCH,7,2021,65,12.33,C,P,216809413,,E35J,352,792,oscarg,oscarg,,,,,,Y,,,,N,0.1,3.8,9.5,0,13.3,136725845
,02/03/21,AMEX,B,P,75,FTCH,FTCH,7,2021,65,12.32,C,C,216809423,,E35J,551,792,oscarg,oscarg,,,,,,Y,,,,N,0.1,7.5,0,0,7.5,136721009
,02/03/21,AMEX,B,P,37,FTCH,FTCH,7,2021,65,12.32,C,P,216809423,,E35J,352,792,oscarg,oscarg,,,,,,Y,,,,N,0.1,3.7,9.25,0,12.95,136720963
,02/03/21,AMEX,S,C,400,XLE,XLE,2,2021,45,0.28,C,C,216763863,,E35J,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.1,40,0,0,40,136747806
,02/03/21,AMEX,B,C,400,XLE,XLE,3,2021,45,0.95,C,C,216763863,,E35J,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.1,40,0,0,40,136747884
,02/03/21,AMEX,S,C,800,XLE,XLE,3,2021,50,0.21,C,C,216763863,,E35J,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.1,80,0,0,80,136748052
,02/04/21,AMEX,S,P,49,AAPL,AAPL,3,2021,120,1.28,C,C,CO212O9KBJ1,BLPOPT_20210204-00117-00001LAAPLMAR120P,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,4.9,0,2.21,7.11,136973665
,02/04/21,AMEX,S,P,6,AAPL,AAPL,3,2021,120,1.28,C,C,CO212O9KBJ1,BLPOPT_20210204-00117-00001LAAPLMAR120P,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,0.6,0,0.27,0.87,136973621
,02/04/21,AMEX,B,C,49,AAPL,AAPL,3,2021,155,1.3,C,C,CO212O9KBJ1,BLPOPT_20210204-00117-00001BAAPLMAR155C,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,4.9,0,2.21,7.11,136973153
,02/04/21,AMEX,B,C,6,AAPL,AAPL,3,2021,155,1.3,C,C,CO212O9KBJ1,BLPOPT_20210204-00117-00001BAAPLMAR155C,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,0.6,0,0.27,0.87,136973043
,02/04/21,AMEX,S,P,3,TSLA,TSLA,3,2021,540,4.24,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045LTSLAMAR540P,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,0.3,0,0.14,0.44,136972443
,02/04/21,AMEX,S,P,1,TSLA,TSLA,3,2021,540,4.25,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045LTSLAMAR540P,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,0.1,0,0.05,0.15,136972221
,02/04/21,AMEX,S,P,1,TSLA,TSLA,3,2021,540,4.27,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045LTSLAMAR540P,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,0.1,0,0.05,0.15,136918931
,02/04/21,AMEX,B,C,3,TSLA,TSLA,3,2021,875,57.89,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045BTSLAMAR875C,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,0.3,0,0.14,0.44,136971036
,02/04/21,AMEX,B,C,1,TSLA,TSLA,3,2021,875,57.9,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045BTSLAMAR875C,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,0.1,0,0.05,0.15,136971083
,02/04/21,AMEX,B,C,1,TSLA,TSLA,3,2021,875,57.92,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045BTSLAMAR875C,B13,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.1,0.1,0,0.05,0.15,136918586
,02/05/21,AMEX,B,P,550,EEM,EEM,9,2021,50,2.1,C,P,217013205,,E35J,444,792,oscarg,oscarg,,,,,etf,Y,,,,C,0.1,55,0,0,55,137230807
,02/05/21,AMEX,B,P,500,EEM,EEM,9,2021,50,2.1,C,P,217020685,,E35J,444,792,oscarg,oscarg,,,,,etf,Y,,,,C,0.1,50,0,0,50,137291444
,02/05/21,AMEX,B,C,1100,IFF,IFF,2,2021,150,0.53,C,C,216947335,,E35J,444,792,oscarg,oscarg,,,,,,,,,,C,0.1,110,0,0,110,137149925
,02/05/21,AMEX,S,P,1100,IFF,IFF,2,2021,150,23.03,C,C,216947335,,E35J,444,792,oscarg,oscarg,,,,,,,,,,C,0.1,110,0,0,110,137202297
,02/05/21,AMEX,S,P,200,IWM,IWM,3,2021,190,1.8,C,C,216944365,,E35J,50,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.1,20,0,0,20,137203053
,02/05/21,AMEX,S,P,100,IWM,IWM,3,2021,190,1.8,C,C,216944365,,E35J,50,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.1,10,0,0,10,137202645
