Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
03/01/21,AMEX,S,P,1000,C,C,3,2021,62.5000,0.400000,C,P,218803331,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,C,0.100000000000000,100.0000,0.0000,0.0000,100.0000,141637807
03/01/21,AMEX,S,P,15000,EPD,EPD,3,2021,20.0000,0.100000,C,P,218816051,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,C,0.100000000000000,1500.0000,0.0000,0.0000,1500.0000,141643035
03/01/21,AMEX,B,P,15000,EPD,EPD,4,2021,20.0000,0.230000,C,P,218816051,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,C,0.100000000000000,1500.0000,0.0000,0.0000,1500.0000,141641425
03/01/21,AMEX,B,C,200,LIN,LIN,4,2021,270.0000,1.800000,C,F,218868361,,E35J,,010,792,oscarg,oscarg,,,,,,,,,,N,0.100000000000000,20.0000,50.0000,0.0000,70.0000,141664031
03/01/21,AMEX,B,C,200,LIN,LIN,4,2021,280.0000,1.000000,C,F,218868361,,E35J,,010,792,oscarg,oscarg,,,,,,,,,,N,0.100000000000000,20.0000,50.0000,0.0000,70.0000,141664028
03/01/21,AMEX,B,P,2000,NIO,NIO,9,2021,45.0000,9.750000,C,C,218786061,,E35J,,273,792,oscarg,oscarg,,,,,,Y,,,,C,0.100000000000000,200.0000,0.0000,0.0000,200.0000,141558091
03/01/21,AMEX,B,P,300,UBER,UBER,9,2021,50.0000,6.400000,C,P,218851721,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,0.100000000000000,30.0000,75.0000,0.0000,105.0000,141579907
03/02/21,AMEX,B,P,35,ADBE,ADBE,10,2021,445.0000,38.500000,O,N,218915042,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100000000000000,3.5000,8.7500,0.0000,12.2500,141868247
03/02/21,AMEX,B,P,150,IWM,IWM,6,2022,225.0000,27.750000,C,P,218885872,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100000000000000,15.0000,37.5000,0.0000,52.5000,141912686
03/02/21,AMEX,B,C,150,IWM,IWM,6,2022,230.0000,23.000000,C,P,218885872,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100000000000000,15.0000,37.5000,0.0000,52.5000,141913765
