Date,User,Route,Side,"Exec Qty",Security,Root,Expiry,Strike,Call/Put,"Average Price",Portfolio,"Commission Type","Commission Rate","WEX Connect Rate","Exch. Fee Rate","Clearing Fee","Total Charge",group_quantity,group_price,group_charge
8/3/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,2021-09-17,$7.50,P,$0.35,DIFESA-OMNI,"Per Unit",0.0500,0.0000,-0.8600,0.0000,$(4.0500),5,0.35,-4.05
8/5/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.6000,52,9.65,2.6
8/5/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.6000,52,9.65,2.6
8/5/2021,DSmanik,CBOE-OPT,SLO,7,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.3500,52,9.65,2.6
8/5/2021,DSmanik,CBOE-OPT,SLO,10,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.5000,52,9.65,2.6
8/5/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1500,52,9.65,2.6
8/5/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1500,52,9.65,2.6
8/5/2021,DSmanik,ISE-OPT,SLO,4,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.2000,52,9.65,2.6
8/5/2021,DSmanik,ISE-OPT,SLO,1,KWEB,KWEB,2023-01-20,$50.00,P,$9.65,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,52,9.65,2.6
8/6/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,2022-01-21,$27.00,P,$0.62,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$2.5000,250,0.62,12.5
8/6/2021,DSmanik,CBOE-OPT,BYO,17,GDX,GDX,2022-01-21,$27.00,P,$0.62,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.8500,250,0.62,12.5
8/6/2021,DSmanik,CBOE-OPT,BYO,3,GDX,GDX,2022-01-21,$27.00,P,$0.62,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1500,250,0.62,12.5
8/6/2021,DSmanik,CBOE-OPT,BYO,16,GDX,GDX,2022-01-21,$27.00,P,$0.62,CITI,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.8000,250,0.62,12.5
