Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
02/02/21,AMEX,S,C,4 ,CHKP,CHKP,2,2021 ,135.00,4.50 ,O,C,O4C05ULP7A,BLPOPT_20210202-00068-00001,E35,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,CLOCK,,,R,0.100 ,0.40 ,0.00 ,0.18 ,0.58 ,136311649 
02/02/21,AMEX,S,C,4 ,CHKP,CHKP,2,2021 ,135.00,4.50 ,O,C,O4C05ULP7A,BLPOPT_20210202-00068-00001,E35,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,CLOCK,,,R,0.100 ,0.40 ,0.00 ,0.18 ,0.58 ,136374215 
02/02/21,AMEX,S,C,2 ,CHKP,CHKP,2,2021 ,135.00,4.50 ,O,C,O4C05ULP7A,BLPOPT_20210202-00068-00001,E35,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,CLOCK,,,R,0.100 ,0.20 ,0.00 ,0.09 ,0.29 ,136311679 
02/02/21,AMEX,B,C,1000 ,DD,DD,2,2021 ,105.00,0.09 ,C,C,216628992,,E35J,,226,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,100.00 ,0.00 ,0.00 ,100.00 ,136773141 
02/02/21,AMEX,S,P,1000 ,DD,DD,2,2021 ,105.00,32.39 ,C,C,216628992,,E35J,,226,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,100.00 ,0.00 ,0.00 ,100.00 ,136772895 
02/02/21,AMEX,S,P,2250 ,TLT,TLT,3,2021 ,145.00,1.07 ,C,P,216625242,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,225.00 ,562.50 ,0.00 ,787.50 ,136470545 
02/02/21,AMEX,B,P,2250 ,TLT,TLT,3,2021 ,150.00,2.67 ,C,P,216625242,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,225.00 ,562.50 ,0.00 ,787.50 ,136470020 
02/03/21,AMEX,B,P,200 ,AIG,AIG,4,2021 ,40.00,3.30 ,C,C,216773293,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,20.00 ,0.00 ,0.00 ,20.00 ,136762969 
02/03/21,AMEX,B,P,75 ,FTCH,FTCH,7,2021 ,65.00,12.33 ,C,C,216809413,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,7.50 ,0.00 ,0.00 ,7.50 ,136725384 
02/03/21,AMEX,B,P,38 ,FTCH,FTCH,7,2021 ,65.00,12.33 ,C,P,216809413,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,3.80 ,9.50 ,0.00 ,13.30 ,136725845 
02/03/21,AMEX,B,P,75 ,FTCH,FTCH,7,2021 ,65.00,12.32 ,C,C,216809423,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,7.50 ,0.00 ,0.00 ,7.50 ,136721009 
02/03/21,AMEX,B,P,37 ,FTCH,FTCH,7,2021 ,65.00,12.32 ,C,P,216809423,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,3.70 ,9.25 ,0.00 ,12.95 ,136720963 
02/03/21,AMEX,S,C,400 ,XLE,XLE,2,2021 ,45.00,0.28 ,C,C,216763863,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,40.00 ,0.00 ,0.00 ,40.00 ,136747806 
02/03/21,AMEX,B,C,400 ,XLE,XLE,3,2021 ,45.00,0.95 ,C,C,216763863,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,40.00 ,0.00 ,0.00 ,40.00 ,136747884 
02/03/21,AMEX,S,C,800 ,XLE,XLE,3,2021 ,50.00,0.21 ,C,C,216763863,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,80.00 ,0.00 ,0.00 ,80.00 ,136748052 
02/04/21,AMEX,S,P,49 ,AAPL,AAPL,3,2021 ,120.00,1.28 ,C,C,CO212O9KBJ1,BLPOPT_20210204-00117-00001LAAPLMAR120P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,4.90 ,0.00 ,2.21 ,7.11 ,136973665 
02/04/21,AMEX,S,P,6 ,AAPL,AAPL,3,2021 ,120.00,1.28 ,C,C,CO212O9KBJ1,BLPOPT_20210204-00117-00001LAAPLMAR120P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,0.60 ,0.00 ,0.27 ,0.87 ,136973621 
02/04/21,AMEX,B,C,49 ,AAPL,AAPL,3,2021 ,155.00,1.30 ,C,C,CO212O9KBJ1,BLPOPT_20210204-00117-00001BAAPLMAR155C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,4.90 ,0.00 ,2.21 ,7.11 ,136973153 
02/04/21,AMEX,B,C,6 ,AAPL,AAPL,3,2021 ,155.00,1.30 ,C,C,CO212O9KBJ1,BLPOPT_20210204-00117-00001BAAPLMAR155C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,0.60 ,0.00 ,0.27 ,0.87 ,136973043 
02/04/21,AMEX,S,P,3 ,TSLA,TSLA,3,2021 ,540.00,4.24 ,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045LTSLAMAR540P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,0.30 ,0.00 ,0.14 ,0.44 ,136972443 
02/04/21,AMEX,S,P,1 ,TSLA,TSLA,3,2021 ,540.00,4.25 ,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045LTSLAMAR540P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,0.10 ,0.00 ,0.05 ,0.15 ,136972221 
02/04/21,AMEX,S,P,1 ,TSLA,TSLA,3,2021 ,540.00,4.27 ,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045LTSLAMAR540P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,0.10 ,0.00 ,0.05 ,0.15 ,136918931 
02/04/21,AMEX,B,C,3 ,TSLA,TSLA,3,2021 ,875.00,57.89 ,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045BTSLAMAR875C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,0.30 ,0.00 ,0.14 ,0.44 ,136971036 
02/04/21,AMEX,B,C,1 ,TSLA,TSLA,3,2021 ,875.00,57.90 ,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045BTSLAMAR875C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,0.10 ,0.00 ,0.05 ,0.15 ,136971083 
02/04/21,AMEX,B,C,1 ,TSLA,TSLA,3,2021 ,875.00,57.92 ,C,C,CO312O9K1NB,BLPOPT_20210204-00120-00045BTSLAMAR875C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,,,,A,0.100 ,0.10 ,0.00 ,0.05 ,0.15 ,136918586 
02/05/21,AMEX,B,P,550 ,EEM,EEM,9,2021 ,50.00,2.10 ,C,P,217013205,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,,C,0.100 ,55.00 ,0.00 ,0.00 ,55.00 ,137230807 
02/05/21,AMEX,B,P,500 ,EEM,EEM,9,2021 ,50.00,2.10 ,C,P,217020685,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,,C,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,137291444 
02/05/21,AMEX,B,C,1100 ,IFF,IFF,2,2021 ,150.00,0.53 ,C,C,216947335,,E35J,,444,792,oscarg,oscarg,,,,,,,,,,C,0.100 ,110.00 ,0.00 ,0.00 ,110.00 ,137149925 
02/05/21,AMEX,S,P,1100 ,IFF,IFF,2,2021 ,150.00,23.03 ,C,C,216947335,,E35J,,444,792,oscarg,oscarg,,,,,,,,,,C,0.100 ,110.00 ,0.00 ,0.00 ,110.00 ,137202297 
02/05/21,AMEX,S,P,200 ,IWM,IWM,3,2021 ,190.00,1.80 ,C,C,216944365,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,20.00 ,0.00 ,0.00 ,20.00 ,137203053 
02/05/21,AMEX,S,P,100 ,IWM,IWM,3,2021 ,190.00,1.80 ,C,C,216944365,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,10.00 ,0.00 ,0.00 ,10.00 ,137202645 
02/05/21,AMEX,B,P,200 ,IWM,IWM,3,2021 ,212.00,5.55 ,C,C,216944365,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,20.00 ,0.00 ,0.00 ,20.00 ,137130827 
02/05/21,AMEX,B,P,100 ,IWM,IWM,3,2021 ,212.00,5.55 ,C,C,216944365,,E35J,,050,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,0.100 ,10.00 ,0.00 ,0.00 ,10.00 ,137130608 
