USER,EXCHANGE,SYMBOL,EXPIRATION,STRIKE,C/P,B/S,FILLED QTY,PREMIUM,DATE,ORDER TYPE,GIVEUP,CMTA FIRM,RANGE,ACCOUNT,COMPANY,DEST COMPANY,ELECTRONIC,LEG NUMBER,USER QTY,FIX QTY,HANDLING,CONNECTION,SECURITY TYPE,CROSSING,PENNY,SYMBOL TYPE,PTMID,LINK EXCH,ParentExDestination,ORDERID,REPORTID,CL_ORD_ID,LiquidityFlag,Open_Close,cross_type,custom_billing_tag,OSISeries,ATS_CHANNEL,fix_comp_id,SubAccount3,BPCR,BPCR$,LF,LF$,MDPT,MDPT$,PHLXCOB,PHLXCOB$,ISECOB,ISECOB$,CAT,CAT$,TOTAL COMMISSIONS,TOTAL EXCHANGE FEES
dfilippidis|GH59,BOX,AAPL,2/18/2022,$130.00 ,P,SELL,800,$5.60 ,10/1/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2-Feb,0,0,129,,Option,0,1,Equity,0,B,ISTG,389548913,1353096711,23285500,,O,,,AAPL  220218P00130000,,,P,0.0168,13.4387, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,BOX,AMD,6/17/2022,$135.00 ,C,BUY,"1,300",$4.75 ,10/1/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3-Mar,0,0,129,,Option,0,1,Equity,0,B,ISTG,389545562,1353061227,23281486,,O,,,AMD   220617C00135000,,,P,0.0168,21.8379, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,BOX,AMD,6/17/2022,$85.00 ,P,BUY,"1,300",$6.35 ,10/1/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3-Feb,0,0,129,,Option,0,1,Equity,0,B,ISTG,389545562,1353061226,23281486,,O,,,AMD   220617P00085000,,,P,0.0168,21.8379, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|DanEdery,PHLX,BABA,1/20/2023,$155.00 ,C,SELL,500,$25.90 ,10/1/2021,Done Away Managed,323,323,CUST,HSBC Cust,BLHSBC,BLOGS,MANUAL,3-Mar,0,0,129,,Option,0,1,Equity,0,X,ISTG,389549418,1353102573,23286140,,O,,,BABA  230120C00155000,,,,0.025,12.5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|DanEdery,PHLX,BABA,1/20/2023,$125.00 ,P,BUY,"1,000",$19.95 ,10/1/2021,Done Away Managed,323,323,CUST,HSBC Cust,BLHSBC,BLOGS,MANUAL,3-Feb,0,0,129,,Option,0,1,Equity,0,X,ISTG,389549418,1353102578,23286140,,O,,,BABA  230120P00125000,,,,0.025,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,BNTX,9/16/2022,$230.00 ,P,SELL,100,$39.25 ,10/1/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2-Feb,0,0,129,,Option,0,0,Equity,0,A,ISTG,389548895,1353095465,23285426,,O,,,BNTX  220916P00230000,,,P,0.0168,1.6798, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|GH59,BOX,CAT,6/17/2022,$230.00 ,C,BUY,380,$6.35 ,10/1/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2-Feb,0,0,129,,Option,0,1,Equity,0,B,ISTG,389549423,1353102532,23286180,,O,,,CAT   220617C00230000,,,P,0.0168,6.3834, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|Parallaxobo,BOX,CAT,6/17/2022,$230.00 ,C,SELL,190,$6.35 ,10/1/2021,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,2-Feb,0,0,129,,Option,0,1,Equity,0,B,ISTG,389549480,1353104348,23286222,,O,,,CAT   220617C00230000,,,,0.025,4.75, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|tdilelloobo,AMEX,EEM,1/20/2023,$48.00 ,P,SELL,"1,700",$4.91 ,10/1/2021,Done Away Managed,161,275,CUST,CLIENT,MER,BLOGS,MANUAL,2-Feb,0,0,129,,Option,0,1,ETF,0,A,ISTG,389545973,1353065184,23281908,,O,,,EEM   230120P00048000,,,,0.025,42.5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|Parallaxobo,AMEX,MRNA,1/21/2022,$340.00 ,P,BUY,130,$42.50 ,10/1/2021,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,2-Feb,0,0,129,,Option,0,1,Equity,0,A,ISTG,389549668,1353106007,23286491,,O,,,MRNA  220121P00340000,,,,0.025,3.25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
