Clearing Fee,User,Date,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,DSmanik,08/03/2021,WEX-SWEEP,b,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,0,-0.86,$(4.0500)
0,DSmanik,08/03/2021,WEX-SWEEP,s,8,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.4000
0,DSmanik,08/03/2021,WEX-SWEEP,s,5,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$4.5000
0,DSmanik,08/03/2021,WEX-SWEEP,s,15,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$13.5000
0,DSmanik,08/03/2021,WEX-SWEEP,s,2,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$1.8000
0,DSmanik,08/03/2021,WEX-SWEEP,s,7,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,$0.3675
0,DSmanik,08/03/2021,WEX-SWEEP,s,3,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,$0.1200
0,DSmanik,08/03/2021,WEX-SWEEP,s,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,DSmanik,08/03/2021,WEX-SWEEP,s,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,DSmanik,08/03/2021,WEX-SWEEP,s,27,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$24.3000
0,DSmanik,08/03/2021,WEX-SWEEP,s,6,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$5.4000
0,DSmanik,08/03/2021,WEX-SWEEP,s,8,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$7.2000
0,DSmanik,08/03/2021,WEX-SWEEP,s,4,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.2000
0,DSmanik,08/03/2021,WEX-SWEEP,s,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,DSmanik,08/03/2021,WEX-SWEEP,s,12,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.6000
0,DSmanik,08/03/2021,WEX-SWEEP,s,3,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,$0.1200
0,DSmanik,08/03/2021,WEX-SWEEP,s,13,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$11.7000
0,DSmanik,08/03/2021,WEX-SWEEP,s,14,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$12.6000
