Clearing Fee,Date,User,Route,Exec Qty,Side,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DSmanik,WEX-SWEEP,5,s,IPOF,IPOF,17/09/2021,$10.00,C,0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0.20
0,08/03/2021,DSmanik,WEX-SWEEP,170,s,IPOF,IPOF,17/09/2021,$10.00,C,0.09,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.52
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,100,s,LUXA,LUXA,15/10/2021,$10.00,C,0.16,MILTON,Per Unit,0.05,0,0.0025,0.11
0,08/03/2021,DSmanik,WEX-SWEEP,420,s,CANO,CANO,17/09/2021,$7.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.35
0,08/03/2021,DSmanik,WEX-SWEEP,300,s,LUXA,LUXA,15/10/2021,$10.00,C,0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,0.49
0,08/03/2021,DFilippidis,WEX-SWEEP,20,s,LUXA,LUXA,15/10/2021,$10.00,C,0.15,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,9.00
0,08/04/2021,DSmanik,WEX-SWEEP-SPRD,500,s,LUXA,LUXA,15/10/2021,$10.00,C,0.12,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,3.13
0,08/04/2021,DFilippidis,WEX-SWEEP-SPRD,500,s,LUXA,LUXA,15/10/2021,$10.00,C,0.13,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,3.05
0,08/05/2021,DSmanik,CBOE-OPT,6400,b,KWEB,KWEB,20/01/2023,$50.00,P,9.65,CITI,Per Unit,0.05,0,0,0.60
0,08/05/2021,DSmanik,WEX-SWEEP,39200,b,MYPS,MYPS,20/08/2021,$5.00,P,0.2,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.83
0,08/05/2021,DSmanik,WEX-SWEEP,194400,b,AGCB,AGCB,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.08
0,08/06/2021,DSmanik,WEX-SWEEP-SPRD,2,b,AGCB,AGCB,15/10/2021,$10.00,C,0.07,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.25
0,08/06/2021,DSmanik,ISE-OPT,15,b,GDX,GDX,21/01/2022,$27.00,P,0.62,CITI,Per Unit,0.05,0,0,0.52
0,08/06/2021,DSmanik,ISE-OPT,6,b,FSLY,FSLY,20/01/2023,$60.00,C,8.01,BNP,Per Unit,0.05,0,0,0.10
0,08/09/2021,DSmanik,WEX-SWEEP,33,b,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.55
0,08/09/2021,DSmanik,WEX-SWEEP,34,b,IPOF,IPOF,19/11/2021,$10.00,C,0.19,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/09/2021,DSmanik,WEX-SWEEP,28,b,LUXA,LUXA,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,08/09/2021,DSmanik,WEX-SWEEP,34,b,MCMJ,MCMJ,15/10/2021,$10.00,C,0.2,VIVALDI-OMNI,Per Unit,0.05,0,0.85,0.78
0,08/09/2021,DSmanik,WEX-SWEEP,34,b,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.88
0,08/09/2021,DFilippidis,,2,b,IPOF,IPOF,19/11/2021,$10.00,C,0.19,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,0.32
0,08/09/2021,DFilippidis,WEX-SWEEP,2,b,LUXA,LUXA,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,0.05
0,08/09/2021,DFilippidis,WEX-SWEEP,2,b,MCMJ,MCMJ,15/10/2021,$10.00,C,0.2,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,0.11
0,08/09/2021,DFilippidis,,2,b,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,0.75
0,08/10/2021,DSmanik,WEX-SWEEP,26,s,LUXA,LUXA,15/10/2021,$10.00,C,0.06,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,08/10/2021,DFilippidis,,2,s,LUXA,LUXA,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,0.45
0,08/11/2021,DSmanik,WEX-SWEEP,152,b,BTWN,BTWN,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.98
0,08/11/2021,DSmanik,WEX-SWEEP,22,b,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.22
0,08/12/2021,DSmanik,WEX-SWEEP,14,s,LUXA,LUXA,15/10/2021,$10.00,C,0.06,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.63
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,2,s,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,3,s,IPOF,IPOF,19/11/2021,$10.00,C,0.21,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,10,s,PIPP,PIPP,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.52
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,2,s,.VIX,VIX,20/10/2021,$21.00,P,3.61,UBS-CUST,Per Unit,0.05,0.02,0,0.95
