Clearing Fee,User,Date,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge,key
0,DSmanik,08/03/2021,WEX-SWEEP,s,200,LUXA,LUXA,15/10/2021,$10.00,C,0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,0.49,08/03/2021-s-LUXA-LUXA-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/04/2021,WEX-SWEEP-SPRD,s,290,LUXA,LUXA,15/10/2021,$10.00,C,0.13,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,3.13,08/04/2021-s-LUXA-LUXA-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/05/2021,CBOE-OPT,s,52,KWEB,KWEB,20/01/2023,$50.00,P,9.65,CITI,Per Unit,0.05,0,0,0.60,08/05/2021-s-KWEB-KWEB-20/01/2023-$50.00-P-CITI-Per Unit-0.05
0,DSmanik,08/06/2021,ISE-OPT,b,250,GDX,GDX,21/01/2022,$27.00,P,0.62,CITI,Per Unit,0.05,0,0,0.52,08/06/2021-b-GDX-GDX-21/01/2022-$27.00-P-CITI-Per Unit-0.05
0,DSmanik,08/09/2021,WEX-SWEEP,b,61,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.55,08/09/2021-b-IPOF-IPOF-20/08/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/09/2021,WEX-SWEEP,s,45,LUXA,LUXA,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81,08/09/2021-s-LUXA-LUXA-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/09/2021,WEX-SWEEP,s,202,MCMJ,MCMJ,15/10/2021,$10.00,C,0.2,VIVALDI-OMNI,Per Unit,0.05,0,0.85,0.78,08/09/2021-s-MCMJ-MCMJ-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/10/2021,WEX-SWEEP,s,677,LUXA,LUXA,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81,08/10/2021-s-LUXA-LUXA-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/12/2021,WEX-SWEEP,s,46,BTWN,BTWN,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.64,08/12/2021-s-BTWN-BTWN-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/12/2021,WEX-SWEEP-SPRD,b,9,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54,08/12/2021-b-IPOF-IPOF-20/08/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/12/2021,WEX-SWEEP-SPRD,s,547,PIPP,PIPP,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.52,08/12/2021-s-PIPP-PIPP-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,8/13/2021,WEX-SWEEP-SPRD,b,383,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.47,0.07,8/13/2021-b-IPOF-IPOF-20/08/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,8/17/2021,WEX-SWEEP-SPRD,s,300,EWT,EWT,20/08/2021,$60.00,P,0.54,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,0.56,8/17/2021-s-EWT-EWT-20/08/2021-$60.00-P-NEWFOUNDLAND-OMNI-Per Unit-0.05
0,DSmanik,8/17/2021,WEX-SWEEP-SPRD,s,300,EWT,EWT,17/09/2021,$55.00,P,0.56,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,0.46,8/17/2021-s-EWT-EWT-17/09/2021-$55.00-P-NEWFOUNDLAND-OMNI-Per Unit-0.05
0,DSmanik,8/26/2021,CBOE-OPT,b,600,HPQ,HPQ,17/09/2021,$27.00,P,0.48,CITI,Per Unit,0.05,0,0,0.42,8/26/2021-b-HPQ-HPQ-17/09/2021-$27.00-P-CITI-Per Unit-0.05
