Clearing Fee,User,Date,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge,key
0,DSmanik,08/02/2021,WEX-SWEEP,s,7,IPOF,IPOF,17/09/2021,$10.00,C,0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0.20,08/02/2021-s-IPOF-IPOF-17/09/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/03/2021,WEX-SWEEP,s,68,IPOF,IPOF,17/09/2021,$10.00,C,0.09,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.52,08/03/2021-s-IPOF-IPOF-17/09/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/03/2021,WEX-SWEEP-SPRD,s,250,LUXA,LUXA,15/10/2021,$10.00,C,0.16,MILTON,Per Unit,0.05,0,0.0025,0.11,08/03/2021-s-LUXA-LUXA-15/10/2021-$10.00-C-MILTON-Per Unit-0.05
0,DSmanik,08/03/2021,WEX-SWEEP,b,500,CANO,CANO,17/09/2021,$7.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.35,08/03/2021-b-CANO-CANO-17/09/2021-$7.50-P-DIFESA-OMNI-Per Unit-0.05
0,DSmanik,08/05/2021,WEX-SWEEP,b,473,MYPS,MYPS,20/08/2021,$5.00,P,0.2,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.83,08/05/2021-b-MYPS-MYPS-20/08/2021-$5.00-P-DIFESA-OMNI-Per Unit-0.05
0,DSmanik,08/05/2021,WEX-SWEEP,s,261,AGCB,AGCB,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.08,08/05/2021-s-AGCB-AGCB-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/06/2021,WEX-SWEEP-SPRD,s,110,AGCB,AGCB,15/10/2021,$10.00,C,0.07,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.25,08/06/2021-s-AGCB-AGCB-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/06/2021,ISE-OPT,s,15,FSLY,FSLY,20/01/2023,$60.00,C,8.01,BNP,Per Unit,0.05,0,0,0.10,08/06/2021-s-FSLY-FSLY-20/01/2023-$60.00-C-BNP-Per Unit-0.05
0,DSmanik,08/09/2021,WEX-SWEEP,s,61,IPOF,IPOF,19/11/2021,$10.00,C,0.19,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54,08/09/2021-s-IPOF-IPOF-19/11/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/09/2021,WEX-SWEEP,b,320,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.88,08/09/2021-b-MYPS-MYPS-20/08/2021-$5.00-P-DIFESA-OMNI-Per Unit-0.05
0,DSmanik,08/11/2021,WEX-SWEEP,s,259,BTWN,BTWN,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.98,08/11/2021-s-BTWN-BTWN-15/10/2021-$10.00-C-VIVALDI-OMNI-Per Unit-0.05
0,DSmanik,08/11/2021,WEX-SWEEP,b,207,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.22,08/11/2021-b-MYPS-MYPS-20/08/2021-$5.00-P-DIFESA-OMNI-Per Unit-0.05
