Clearing Fee,Date,User,Route,Exec Qty,Side,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DSmanik,WEX-SWEEP,1,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,$(0.2000)
0,08/02/2021,DSmanik,WEX-SWEEP,2,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.42,$(0.7400)
0,08/02/2021,DSmanik,WEX-SWEEP,1,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,$(0.2000)
0,08/02/2021,DSmanik,WEX-SWEEP,2,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.3,$(0.5000)
0,08/02/2021,DSmanik,WEX-SWEEP,1,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,$(0.2000)
0,08/03/2021,DSmanik,WEX-SWEEP,10,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$5.5000
0,08/03/2021,DSmanik,WEX-SWEEP,4,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$2.2000
0,08/03/2021,DSmanik,WEX-SWEEP,8,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$4.4000
0,08/03/2021,DSmanik,WEX-SWEEP,2,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$1.1000
0,08/03/2021,DSmanik,WEX-SWEEP,9,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$4.9500
0,08/03/2021,DSmanik,WEX-SWEEP,1,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$0.5500
0,08/03/2021,DSmanik,WEX-SWEEP,4,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$2.2000
0,08/03/2021,DSmanik,WEX-SWEEP,1,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,-0.3,$(0.2500)
0,08/03/2021,DSmanik,WEX-SWEEP,8,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0.48,$4.2400
0,08/03/2021,DSmanik,WEX-SWEEP,2,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0.49,$1.0800
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,40,s,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0,0.0025,$2.1000
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,29,s,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0,0.0025,$1.5225
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,56,s,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0,0.0025,$2.9400
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,28,s,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0,0.0025,$1.4700
0,08/03/2021,DSmanik,WEX-SWEEP,8,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$7.2000
0,08/03/2021,DSmanik,WEX-SWEEP,8,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$7.2000
0,08/03/2021,DSmanik,WEX-SWEEP,16,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$14.4000
0,08/03/2021,DSmanik,WEX-SWEEP,3,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$2.7000
0,08/03/2021,DSmanik,WEX-SWEEP,5,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$4.5000
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,08/03/2021,DSmanik,WEX-SWEEP,12,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.0025,$0.6300
0,08/03/2021,DSmanik,WEX-SWEEP,4,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.2000
0,08/03/2021,DSmanik,WEX-SWEEP,10,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.01,$0.4000
0,08/03/2021,DSmanik,WEX-SWEEP,28,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$25.2000
0,08/03/2021,DSmanik,WEX-SWEEP,11,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5500
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.0025,$0.0525
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500
0,08/03/2021,DSmanik,WEX-SWEEP,2,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$1.8000
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,08/03/2021,DSmanik,WEX-SWEEP,4,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.65,$2.8000
0,08/03/2021,DSmanik,WEX-SWEEP,12,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.01,$0.4800
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.01,$0.0400
0,08/03/2021,DSmanik,WEX-SWEEP,11,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$9.9000
0,08/03/2021,DSmanik,WEX-SWEEP,3,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$2.7000
0,08/03/2021,DSmanik,WEX-SWEEP,16,b,CANO,CANO,17/09/2021,$7.50,P,$0.14,DIFESA-OMNI,Per Unit,0.05,0,0.85,$14.4000
0,08/03/2021,DSmanik,WEX-SWEEP,4,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$3.6000
0,08/03/2021,DSmanik,WEX-SWEEP,20,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$18.0000
0,08/03/2021,DSmanik,WEX-SWEEP,16,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.8000
0,08/03/2021,DSmanik,WEX-SWEEP,11,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5500
0,08/03/2021,DSmanik,WEX-SWEEP,152,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$7.6000
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500
0,08/03/2021,DSmanik,WEX-SWEEP,10,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5000
0,08/03/2021,DSmanik,WEX-SWEEP,9,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$8.1000
0,08/03/2021,DSmanik,WEX-SWEEP,4,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$3.6000
0,08/03/2021,DSmanik,WEX-SWEEP,25,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$22.5000
0,08/03/2021,DSmanik,WEX-SWEEP,16,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.5,$(7.2000)
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.5,$(0.4500)
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.5,$(0.4500)
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,08/03/2021,DSmanik,WEX-SWEEP,9,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$8.1000
0,08/03/2021,DSmanik,WEX-SWEEP,1,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500
0,08/03/2021,DSmanik,WEX-SWEEP,25,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$1.2500
0,08/03/2021,DSmanik,WEX-SWEEP,18,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$16.2000
0,08/03/2021,DSmanik,WEX-SWEEP,16,b,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.8000
0,08/03/2021,DSmanik,WEX-SWEEP,2,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,-0.2,$(0.3000)
0,08/03/2021,DSmanik,WEX-SWEEP,8,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,$0.4200
0,08/03/2021,DSmanik,WEX-SWEEP,4,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.2000
0,08/03/2021,DSmanik,WEX-SWEEP,2,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,-0.2,$(0.3000)
0,08/03/2021,DSmanik,WEX-SWEEP,5,b,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,0,-0.86,$(4.0500)
0,08/03/2021,DSmanik,WEX-SWEEP,1,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,-0.42,$(0.3700)
0,08/03/2021,DSmanik,WEX-SWEEP,1,s,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,-0.43,$(0.3800)
0,08/03/2021,DSmanik,WEX-SWEEP,2,s,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,-0.01,$0.0800
