User,Date,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Clearing Fee,Total Charge
DSmanik,8/2/2021,WEX-SWEEP,SLO,1,IPOF,IPOF,2021-09-17,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0,$(0.2000)
DSmanik,8/2/2021,WEX-SWEEP,SLO,2,IPOF,IPOF,2021-09-17,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.42,0,$(0.7400)
DSmanik,8/2/2021,WEX-SWEEP,SLO,1,IPOF,IPOF,2021-09-17,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0,$(0.2000)
DSmanik,8/2/2021,WEX-SWEEP,SLO,2,IPOF,IPOF,2021-09-17,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.3,0,$(0.5000)
DSmanik,8/2/2021,WEX-SWEEP,SLO,1,IPOF,IPOF,2021-09-17,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0,$(0.2000)
DSmanik,8/3/2021,WEX-SWEEP,SLO,10,IPOF,IPOF,2021-09-17,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0,$5.5000
DSmanik,8/3/2021,WEX-SWEEP,SLO,4,IPOF,IPOF,2021-09-17,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0,$2.2000
DSmanik,8/3/2021,WEX-SWEEP,SLO,8,IPOF,IPOF,2021-09-17,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0,$4.4000
DSmanik,8/3/2021,WEX-SWEEP,SLO,2,IPOF,IPOF,2021-09-17,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0,$1.1000
DSmanik,8/3/2021,WEX-SWEEP,SLO,9,IPOF,IPOF,2021-09-17,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0,$4.9500
DSmanik,8/3/2021,WEX-SWEEP,SLO,1,IPOF,IPOF,2021-09-17,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0,$0.5500
DSmanik,8/3/2021,WEX-SWEEP,SLO,4,IPOF,IPOF,2021-09-17,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0,$2.2000
DSmanik,8/3/2021,WEX-SWEEP,SLO,1,IPOF,IPOF,2021-09-17,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,-0.3,0,$(0.2500)
DSmanik,8/3/2021,WEX-SWEEP,SLO,8,IPOF,IPOF,2021-09-17,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0.48,0,$4.2400
DSmanik,8/3/2021,WEX-SWEEP,SLO,2,IPOF,IPOF,2021-09-17,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0,$1.0800
