Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,$(0.2000)
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1023,IPOF,IPOF,17/09/2021,$10.00,C,0.11,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$5.5000
0,08/04/2021,DSmanik,WEX-SWEEP-SPRD,SLO,290,LUXA,LUXA,15/10/2021,$10.00,C,0.12,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,$13.1250
0,08/05/2021,DSmanik,CBOE-OPT,SLO,786,KWEB,KWEB,20/01/2023,$50.00,P,0.11,CITI,Per Unit,0.05,0,0,$0.6000
0,08/06/2021,DSmanik,WEX-SWEEP-SPRD,SLO,375,AGCB,AGCB,15/10/2021,$10.00,C,7.88,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,$5.2500
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,NaN,IPOF,IPOF,20/08/2021,$10.00,C,0.17,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$0.5500
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1659,IPOF,IPOF,20/08/2021,$10.00,C,0.33,VIVALDI-OMNI,Per Unit,0.05,0,0.49,$1.0800
0,08/11/2021,DSmanik,WEX-SWEEP,SLO,NaN,BTWN,BTWN,15/10/2021,$10.00,C,1.82,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,$(0.8100)
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,NaN,BTWN,BTWN,15/10/2021,$10.00,C,2.58,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,$(1.6200)
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2358,PIPP,PIPP,15/10/2021,$10.00,C,0.17,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,$10.5000
0,8/16/2021,DSmanik,WEX-BESTX-OPT,SLO,296,IPOF,IPOF,19/11/2021,$10.00,C,0.19,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$1.6500
0,8/17/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1562,EWT,EWT,20/08/2021,$60.00,P,5.59,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,$0.4000
0,8/18/2021,DSmanik,WEX-BESTX-OPT,SLC,322,MYPS,MYPS,20/08/2021,$5.00,P,0.80,DIFESA,Per Unit,0.05,0,-0.86,$(8.1000)
0,8/19/2021,DSmanik,WEX-BESTX-OPT,SLC,831,MYPS,MYPS,20/08/2021,$5.00,P,0.99,DIFESA,Per Unit,0.05,0,-0.85,$(12.8000)
0,8/20/2021,DSmanik,WEX-SWEEP,SLC,NaN,SUNL,SUNL,20/08/2021,$7.50,P,0.19,DIFESA-OMNI,Per Unit,0.05,0,-0.86,$(0.8100)
0,8/26/2021,DSmanik,WEX-BESTX-OPT,BYO,950,CYXT,CYXT,17/09/2021,$7.50,P,0.54,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500
0,8/30/2021,DSmanik,WEX-BESTX-OPT,BYO,75,CYXT,CYXT,17/09/2021,$7.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.85,$(10.4000)
0,8/31/2021,DFilippidis,CBOE-WEX-CONNECT,BYC,"4,000",.VIX,VIX,20/10/2021,$17.00,P,$0.67,UBS-CUST,Per Unit,0.05,0.02,0,$280.0000
