Clearing Fee,Date,User,Route,Exec Qty,Side,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DSmanik,WEX-SWEEP,7,SLO,IPOF,IPOF,17/09/2021,$10.00,C,0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0.20
0,08/03/2021,DSmanik,WEX-SWEEP,68,SLO,IPOF,IPOF,17/09/2021,$10.00,C,0.09,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.52
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,250,SLO,LUXA,LUXA,15/10/2021,$10.00,C,0.16,MILTON,Per Unit,0.05,0,0.0025,0.11
0,08/03/2021,DSmanik,WEX-SWEEP,500,BYO,CANO,CANO,17/09/2021,$7.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.35
0,08/03/2021,DSmanik,WEX-SWEEP,200,SLO,LUXA,LUXA,15/10/2021,$10.00,C,0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,0.49
0,08/04/2021,DSmanik,WEX-SWEEP-SPRD,290,SLO,LUXA,LUXA,15/10/2021,$10.00,C,0.13,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,3.13
0,08/05/2021,DSmanik,CBOE-OPT,52,SLO,KWEB,KWEB,20/01/2023,$50.00,P,9.65,CITI,Per Unit,0.05,0,0,0.60
0,08/05/2021,DSmanik,WEX-SWEEP,473,BYO,MYPS,MYPS,20/08/2021,$5.00,P,0.2,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.83
0,08/05/2021,DSmanik,WEX-SWEEP,261,SLO,AGCB,AGCB,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.08
0,08/06/2021,DSmanik,WEX-SWEEP-SPRD,110,SLO,AGCB,AGCB,15/10/2021,$10.00,C,0.07,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.25
0,08/06/2021,DSmanik,ISE-OPT,250,BYO,GDX,GDX,21/01/2022,$27.00,P,0.62,CITI,Per Unit,0.05,0,0,0.52
0,08/06/2021,DSmanik,ISE-OPT,15,SLO,FSLY,FSLY,20/01/2023,$60.00,C,8.01,BNP,Per Unit,0.05,0,0,0.10
0,08/09/2021,DSmanik,WEX-SWEEP,48,BYC,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.55
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,13,BYO,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/09/2021,DSmanik,WEX-SWEEP,61,SLO,IPOF,IPOF,19/11/2021,$10.00,C,0.19,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/09/2021,DSmanik,WEX-SWEEP,45,SLO,LUXA,LUXA,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,08/09/2021,DSmanik,WEX-SWEEP,202,SLO,MCMJ,MCMJ,15/10/2021,$10.00,C,0.2,VIVALDI-OMNI,Per Unit,0.05,0,0.85,0.78
0,08/09/2021,DSmanik,WEX-SWEEP,320,BYO,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.88
0,08/10/2021,DSmanik,WEX-SWEEP,677,SLO,LUXA,LUXA,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,08/11/2021,DSmanik,WEX-SWEEP,259,SLO,BTWN,BTWN,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.98
0,08/11/2021,DSmanik,WEX-SWEEP,207,BYO,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.22
0,08/12/2021,DSmanik,WEX-SWEEP,46,SLO,BTWN,BTWN,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.64
0,08/12/2021,DSmanik,WEX-SWEEP,46,SLO,LUXA,LUXA,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.63
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,9,BYC,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,9,SLO,IPOF,IPOF,19/11/2021,$10.00,C,0.21,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,547,SLO,PIPP,PIPP,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.52
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,905,SLO,PIPP,PIPP,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.79
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,383,BYO,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.47,0.07
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,383,SLO,IPOF,IPOF,19/11/2021,$10.00,C,0.2,VIVALDI-OMNI,Per Unit,0.05,0,0.47,0.55
0,8/13/2021,DSmanik,WEX-SWEEP,187,SLO,LUXA,LUXA,15/10/2021,$10.00,C,0.05,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.24
0,8/13/2021,DSmanik,WEX-SWEEP,100,SLO,PPC,PPC,20/08/2021,$28.00,C,0.38,HAVENS-OMNI,Per Unit,0.05,0,-0.85,0.82
0,8/13/2021,DSmanik,WEX-SWEEP,200,SLC,MYPS,MYPS,20/08/2021,$5.00,P,0.4,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.23
0,8/13/2021,DSmanik,WEX-SWEEP,200,BYO,SKIN,SKIN,19/11/2021,$12.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.98
0,8/16/2021,DSmanik,WEX-BESTX-OPT,96,SLO,IPOF,IPOF,19/11/2021,$10.00,C,0.18,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.68
0,8/16/2021,DSmanik,WEX-SWEEP,200,SLC,MYPS,MYPS,20/08/2021,$5.00,P,0.3,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.87
0,8/17/2021,DSmanik,WEX-SWEEP-SPRD,300,SLO,EWT,EWT,20/08/2021,$60.00,P,0.54,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,0.56
