Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,500,EEM,EEM,20/01/2023,$40.00,P,$1.83,UBS-CUST,Per Unit,0.05,0.02,0,$35.0000
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,17/06/2022,$35.00,P,$4.10,UBS-CUST,Per Unit,0.05,0.02,0,$70.0000
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,17/06/2022,$35.00,C,$3.95,UBS-CUST,Per Unit,0.05,0.02,0,$70.0000
0,08/02/2021,DFilippidis,AWAY-MIZUHO-OSCARGRUSS,BYO,300,PYPL,PYPL,20/08/2021,$270.00,P,$5.65,MIZUHO,Per Unit,0.05,0.02,0,$21.0000
0,08/03/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,700,PSTG,PSTG,20/01/2023,$17.50,P,$3.00,UBS-CUST,Per Unit,0.05,0.02,0,$49.0000
0,08/03/2021,DSmanik,WEX-BESTX-OPT,BYO,1,SPAK,SPAK,17/09/2021,$20.00,P,$0.45,DIFESA-OMNI,Per Unit,0.05,0,-0.85,$(0.8000)
0,08/05/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,800,GDX,GDX,20/01/2023,$31.00,P,$3.05,UBS-CUST,Per Unit,0.05,0.02,0,$56.0000
0,08/06/2021,DSmanik,CBOE-OPT,BYO,1,BLUE,BLUE,20/08/2021,$65.00,C,$0.10,CITIFB,Per Unit,0.05,0,0.0025,$0.0525
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,20/01/2023,$29.00,P,$2.89,UBS-CUST,Per Unit,0.05,0.02,0,$70.0000
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,1,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-OMNI,Per Unit,0.05,0,0.49,$1.0800
0,08/10/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"4,750",XLF,XLF,17/09/2021,$36.00,P,$0.29,UBS-CUST,Per Unit,0.05,0.02,0,$332.5000
0,08/10/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"2,200",XLF,XLF,17/09/2021,$38.00,P,$0.75,UBS-CUST,Per Unit,0.05,0.02,0,$154.0000
0,08/10/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"2,200",XLF,XLF,17/09/2021,$40.00,C,$0.31,UBS-CUST,Per Unit,0.05,0.02,0,$154.0000
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,4,MDLA,MDLA,17/09/2021,$35.00,C,$0.15,WESTCHESTER,Per Unit,0.05,0,0,$0.2000
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,175,.VIX,VIX,18/08/2021,$18.00,C,$1.05,UBS-CUST,Per Unit,0.05,0.02,0,$12.2500
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,500,.VIX,VIX,17/11/2021,$22.00,C,$4.20,UBS-CUST,Per Unit,0.05,0.02,0,$35.0000
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,305,.VIX,VIX,17/11/2021,$23.00,P,$4.50,UBS-CUST,Per Unit,0.05,0.02,0,$21.3500
0,08/11/2021,DSmanik,WEX-SWEEP,BYO,2,SUNL,SUNL,20/08/2021,$7.50,P,$0.10,DIFESA-OMNI,Per Unit,0.05,0,-0.8,$(1.5000)
