Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,0.09625,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0.20
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,68,IPOF,IPOF,17/09/2021,$10.00,C,0.08985507246376813,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.52
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,250,LUXA,LUXA,15/10/2021,$10.00,C,0.13656565656565656,MILTON,Per Unit,0.05,0,0.0025,0.11
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,500,CANO,CANO,17/09/2021,$7.50,P,0.14503875968992253,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.35
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,0.175,DIFESA-OMNI,Per Unit,0.05,0,-0.86,4.05
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,200,LUXA,LUXA,15/10/2021,$10.00,C,0.14218009478672985,VIVALDI-OMNI,Per Unit,0.05,0,0,0.49
0,08/04/2021,DSmanik,WEX-SWEEP-SPRD,SLO,290,LUXA,LUXA,15/10/2021,$10.00,C,0.11060606060606061,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,3.13
0,08/05/2021,DSmanik,CBOE-OPT,SLO,52,KWEB,KWEB,20/01/2023,$50.00,P,9.467924528301888,CITI,Per Unit,0.05,0,0,0.60
0,08/05/2021,DSmanik,WEX-SWEEP,BYO,473,MYPS,MYPS,20/08/2021,$5.00,P,0.199367088607595,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.83
0,08/05/2021,DSmanik,WEX-SWEEP,SLO,261,AGCB,AGCB,15/10/2021,$10.00,C,0.09961832061068737,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.08
0,08/06/2021,DSmanik,WEX-SWEEP-SPRD,SLO,110,AGCB,AGCB,15/10/2021,$10.00,C,0.06416666666666668,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.25
0,08/06/2021,DSmanik,ISE-OPT,BYO,250,GDX,GDX,21/01/2022,$27.00,P,0.6175298804780877,CITI,Per Unit,0.05,0,0,0.52
0,08/06/2021,DSmanik,ISE-OPT,SLO,15,FSLY,FSLY,20/01/2023,$60.00,C,7.064705882352941,BNP,Per Unit,0.05,0,0,0.10
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,48,IPOF,IPOF,20/08/2021,$10.00,C,0.02938775510204083,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.55
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,13,IPOF,IPOF,20/08/2021,$10.00,C,0.05785714285714288,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,61,IPOF,IPOF,19/11/2021,$10.00,C,0.18093750000000003,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,45,LUXA,LUXA,15/10/2021,$10.00,C,0.09782608695652172,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,202,MCMJ,MCMJ,15/10/2021,$10.00,C,0.1990147783251232,VIVALDI-OMNI,Per Unit,0.05,0,0.85,0.78
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,NaN,GDX,GDX,21/01/2022,$27.00,P,NaN,UBS-CUST,Per Unit,0.05,0.02,0,70.00
0,08/09/2021,DSmanik,WEX-SWEEP,BYO,320,MYPS,MYPS,20/08/2021,$5.00,P,0.13008130081300814,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.88
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,0.01,VIVALDI-OMNI,Per Unit,0.05,0,0.49,1.08
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,677,LUXA,LUXA,15/10/2021,$10.00,C,0.05109144542772858,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,175,.VIX,VIX,18/08/2021,$18.00,P,0.515,UBS-CUST,Per Unit,0.05,0.02,0,12.25
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,500,.VIX,VIX,18/08/2021,$20.00,C,0.33,UBS-CUST,Per Unit,0.05,0.02,0,35.00
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,305,.VIX,VIX,17/11/2021,$23.00,C,1.95,UBS-CUST,Per Unit,0.05,0.02,0,21.35
0,08/11/2021,DSmanik,WEX-SWEEP,SLO,259,BTWN,BTWN,15/10/2021,$10.00,C,0.09961538461538466,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.98
