Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,$(0.2000)
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,68,IPOF,IPOF,17/09/2021,$10.00,C,0.08,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$5.5000
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,250,LUXA,LUXA,15/10/2021,$10.00,C,0.15,MILTON,Per Unit,0.05,0,0.0025,$2.1000
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,500,CANO,CANO,17/09/2021,$7.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$7.2000
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,0,-0.86,$(4.0500)
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,200,LUXA,LUXA,15/10/2021,$10.00,C,0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.4000
0,08/04/2021,DSmanik,WEX-SWEEP-SPRD,SLO,290,LUXA,LUXA,15/10/2021,$10.00,C,0.12,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,$13.1250
0,08/05/2021,DSmanik,CBOE-OPT,SLO,52,KWEB,KWEB,20/01/2023,$50.00,P,4.98,CITI,Per Unit,0.05,0,0,$0.6000
0,08/05/2021,DSmanik,WEX-SWEEP,BYO,473,MYPS,MYPS,20/08/2021,$5.00,P,0.20,DIFESA-OMNI,Per Unit,0.05,0,0.85,$2.7000
0,08/05/2021,DSmanik,WEX-SWEEP,SLO,261,AGCB,AGCB,15/10/2021,$10.00,C,0.10,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,$0.0800
0,08/06/2021,DSmanik,WEX-SWEEP-SPRD,SLO,110,AGCB,AGCB,15/10/2021,$10.00,C,0.07,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,$5.2500
0,08/06/2021,DSmanik,ISE-OPT,BYO,250,GDX,GDX,21/01/2022,$27.00,P,0.62,CITI,Per Unit,0.05,0,0,$2.5000
0,08/06/2021,DSmanik,ISE-OPT,SLO,15,FSLY,FSLY,20/01/2023,$60.00,C,4.00,BNP,Per Unit,0.05,0,0,$0.1000
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,61,IPOF,IPOF,20/08/2021,$10.00,C,0.03,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$0.5500
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,61,IPOF,IPOF,19/11/2021,$10.00,C,0.18,VIVALDI-OMNI,Per Unit,0.05,0,0.49,$0.5400
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,45,LUXA,LUXA,15/10/2021,$10.00,C,0.10,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,$(0.8000)
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,202,MCMJ,MCMJ,15/10/2021,$10.00,C,0.20,VIVALDI-OMNI,Per Unit,0.05,0,0.85,$2.7000
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,"1,000",GDX,GDX,21/01/2022,$27.00,P,$0.70,UBS-CUST,Per Unit,0.05,0.02,0,$70.0000
0,08/09/2021,DSmanik,WEX-SWEEP,BYO,320,MYPS,MYPS,20/08/2021,$5.00,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.85,$(6.4000)
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,$1.0800
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,677,LUXA,LUXA,15/10/2021,$10.00,C,0.06,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,$(0.8000)
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,175,.VIX,VIX,18/08/2021,$18.00,P,$1.03,UBS-CUST,Per Unit,0.05,0.02,0,$12.2500
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,500,.VIX,VIX,18/08/2021,$20.00,C,$0.66,UBS-CUST,Per Unit,0.05,0.02,0,$35.0000
