Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,0.10999999999999999,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,NaN0.20
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,68,IPOF,IPOF,17/09/2021,$10.00,C,0.08823529411764704,VIVALDI-OMNI,Per Unit,0.05,0,0.5,NaN0.25
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,250,LUXA,LUXA,15/10/2021,$10.00,C,0.15800000000000003,MILTON,Per Unit,0.05,0,0.0025,NaN2.35
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,500,CANO,CANO,17/09/2021,$7.50,P,0.1497619047619047,DIFESA-OMNI,Per Unit,0.05,0,0.85,NaN0.80
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,0.35,DIFESA-OMNI,Per Unit,0.05,0,-0.86,0.004.05
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,200,LUXA,LUXA,15/10/2021,$10.00,C,0.15000000000000005,VIVALDI-OMNI,Per Unit,0.05,0,0,NaN9.90
0,08/04/2021,DSmanik,WEX-SWEEP-SPRD,SLO,290,LUXA,LUXA,15/10/2021,$10.00,C,0.115,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,NaN2.10
0,08/05/2021,DSmanik,CBOE-OPT,SLO,52,KWEB,KWEB,20/01/2023,$50.00,P,9.65,CITI,Per Unit,0.05,0,0,NaN0.05
0,08/05/2021,DSmanik,WEX-SWEEP,BYO,473,MYPS,MYPS,20/08/2021,$5.00,P,0.19979591836734673,DIFESA-OMNI,Per Unit,0.05,0,0.85,NaN0.90
0,08/05/2021,DSmanik,WEX-SWEEP,SLO,261,AGCB,AGCB,15/10/2021,$10.00,C,0.1000000000000001,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,NaN0.05
0,08/06/2021,DSmanik,WEX-SWEEP-SPRD,SLO,110,AGCB,AGCB,15/10/2021,$10.00,C,0.07,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,NaN0.53
0,08/06/2021,DSmanik,ISE-OPT,BYO,250,GDX,GDX,21/01/2022,$27.00,P,0.62,CITI,Per Unit,0.05,0,0,NaN0.05
0,08/06/2021,DSmanik,ISE-OPT,SLO,15,FSLY,FSLY,20/01/2023,$60.00,C,8.008333333333333,BNP,Per Unit,0.05,0,0,NaN0.10
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,48,IPOF,IPOF,20/08/2021,$10.00,C,0.020000000000000004,VIVALDI-OMNI,Per Unit,0.05,0,0.5,NaN0.05
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,13,IPOF,IPOF,20/08/2021,$10.00,C,0.004242424242424242,VIVALDI-OMNI,Per Unit,0.05,0,0.49,NaN0.05
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,61,IPOF,IPOF,19/11/2021,$10.00,C,0.1897058823529411,VIVALDI-OMNI,Per Unit,0.05,0,0.49,NaN1.62
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,45,LUXA,LUXA,15/10/2021,$10.00,C,0.10000000000000002,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,NaN0.80
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,202,MCMJ,MCMJ,15/10/2021,$10.00,C,0.20000000000000015,VIVALDI-OMNI,Per Unit,0.05,0,0.85,NaN0.75
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,NaN,GDX,GDX,21/01/2022,$27.00,P,0.7,UBS-CUST,Per Unit,0.05,0.02,0,0.0070.00
0,08/09/2021,DSmanik,WEX-SWEEP,BYO,320,MYPS,MYPS,20/08/2021,$5.00,P,0.15000000000000002,DIFESA-OMNI,Per Unit,0.05,0,-0.85,NaN39.69
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.001.08
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,677,LUXA,LUXA,15/10/2021,$10.00,C,0.056538461538461544,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,NaN0.05
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,175,.VIX,VIX,18/08/2021,$18.00,P,1.03,UBS-CUST,Per Unit,0.05,0.02,0,0.0012.25
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,500,.VIX,VIX,18/08/2021,$20.00,C,0.66,UBS-CUST,Per Unit,0.05,0.02,0,0.0035.00
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,305,.VIX,VIX,17/11/2021,$23.00,C,3.9,UBS-CUST,Per Unit,0.05,0.02,0,0.0021.35
0,08/11/2021,DSmanik,WEX-SWEEP,SLO,259,BTWN,BTWN,15/10/2021,$10.00,C,0.10000000000000006,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,NaN0.90
0,08/11/2021,DSmanik,WEX-SWEEP,BYO,207,MYPS,MYPS,20/08/2021,$5.00,P,0.15000000000000002,DIFESA-OMNI,Per Unit,0.05,0,0.85,NaN12.00
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,NaN,.VIX,VIX,17/11/2021,$22.00,P,3.85,UBS-CUST,Per Unit,0.05,0.02,0,0.00210.00
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,NaN,.VIX,VIX,17/11/2021,$23.00,P,4.62,UBS-CUST,Per Unit,0.05,0.02,0,0.0084.00
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,NaN,.VIX,VIX,17/11/2021,$23.00,C,3.78,UBS-CUST,Per Unit,0.05,0.02,0,0.0084.00
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,46,BTWN,BTWN,15/10/2021,$10.00,C,0.10000000000000002,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,NaN1.62
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,46,LUXA,LUXA,15/10/2021,$10.00,C,0.057142857142857155,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,NaN0.80
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,BYC,9,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,NaN4.32
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,SLO,9,IPOF,IPOF,19/11/2021,$10.00,C,0.20999999999999996,VIVALDI-OMNI,Per Unit,0.05,0,0.49,NaN2.70
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,SLO,547,PIPP,PIPP,15/10/2021,$10.00,C,0.049999999999999996,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,NaN0.25
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,NaN,.VIX,VIX,20/10/2021,$20.00,P,2.88,UBS-CUST,Per Unit,0.05,0.02,0,0.00105.00
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,585,.VIX,VIX,20/10/2021,$21.00,P,3.63,UBS-CUST,Per Unit,0.05,0.02,0,0.0040.95
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,585,.VIX,VIX,20/10/2021,$21.00,C,3.25,UBS-CUST,Per Unit,0.05,0.02,0,0.0040.95
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,81,.VIX,VIX,20/10/2021,$21.00,P,3.59,UBS-CUST,Per Unit,0.05,0.02,0,0.005.67
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,81,.VIX,VIX,20/10/2021,$21.00,C,3.33,UBS-CUST,Per Unit,0.05,0.02,0,0.005.67
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,SLO,905,PIPP,PIPP,15/10/2021,$10.00,C,0.049999999999999885,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,NaN0.80
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,BYO,383,IPOF,IPOF,20/08/2021,$10.00,C,0.02297297297297298,VIVALDI-OMNI,Per Unit,0.05,0,0.47,NaN0.54
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,SLO,383,IPOF,IPOF,19/11/2021,$10.00,C,0.2050000000000001,VIVALDI-OMNI,Per Unit,0.05,0,0.47,NaN0.54
0,8/13/2021,DSmanik,WEX-SWEEP,SLO,187,LUXA,LUXA,15/10/2021,$10.00,C,0.05000000000000004,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,NaN0.08
0,8/13/2021,DSmanik,WEX-SWEEP,SLO,100,PPC,PPC,20/08/2021,$28.00,C,0.3833333333333333,HAVENS-OMNI,Per Unit,0.05,0,-0.85,NaN2.70
0,8/13/2021,DSmanik,WEX-SWEEP,SLC,200,MYPS,MYPS,20/08/2021,$5.00,P,0.40000000000000024,DIFESA-OMNI,Per Unit,0.05,0,-0.85,NaN3.50
