Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,0.0275,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0.20
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,68,IPOF,IPOF,17/09/2021,$10.00,C,0.002318840579710145,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.52
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,250,LUXA,LUXA,15/10/2021,$10.00,C,0.047474747474747475,MILTON,Per Unit,0.05,0,0.0025,0.11
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,500,CANO,CANO,17/09/2021,$7.50,P,0.009302325581395349,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.35
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,0.35,DIFESA-OMNI,Per Unit,0.05,0,-0.86,4.05
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,200,LUXA,LUXA,15/10/2021,$10.00,C,0.015639810426540283,VIVALDI-OMNI,Per Unit,0.05,0,0,0.49
0,08/04/2021,DSmanik,WEX-SWEEP-SPRD,SLO,290,LUXA,LUXA,15/10/2021,$10.00,C,0.024242424242424242,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,3.13
0,08/05/2021,DSmanik,CBOE-OPT,SLO,52,KWEB,KWEB,20/01/2023,$50.00,P,0.36415094339622645,CITI,Per Unit,0.05,0,0,0.60
0,08/05/2021,DSmanik,WEX-SWEEP,BYO,473,MYPS,MYPS,20/08/2021,$5.00,P,0.0008438818565400844,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.83
0,08/05/2021,DSmanik,WEX-SWEEP,SLO,261,AGCB,AGCB,15/10/2021,$10.00,C,0.0007633587786259542,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.08
0,08/06/2021,DSmanik,WEX-SWEEP-SPRD,SLO,110,AGCB,AGCB,15/10/2021,$10.00,C,0.011666666666666667,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.25
0,08/06/2021,DSmanik,ISE-OPT,BYO,250,GDX,GDX,21/01/2022,$27.00,P,0.004940239043824701,CITI,Per Unit,0.05,0,0,0.52
0,08/06/2021,DSmanik,ISE-OPT,SLO,15,FSLY,FSLY,20/01/2023,$60.00,C,1.8823529411764706,BNP,Per Unit,0.05,0,0,0.10
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,48,IPOF,IPOF,20/08/2021,$10.00,C,0.0012244897959183673,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.55
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,13,IPOF,IPOF,20/08/2021,$10.00,C,0.002857142857142857,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,61,IPOF,IPOF,19/11/2021,$10.00,C,0.017812500000000002,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,45,LUXA,LUXA,15/10/2021,$10.00,C,0.004347826086956522,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,202,MCMJ,MCMJ,15/10/2021,$10.00,C,0.001970443349753695,VIVALDI-OMNI,Per Unit,0.05,0,0.85,0.78
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,NaN,GDX,GDX,21/01/2022,$27.00,P,NaN,UBS-CUST,Per Unit,0.05,0.02,0,70.00
0,08/09/2021,DSmanik,WEX-SWEEP,BYO,320,MYPS,MYPS,20/08/2021,$5.00,P,0.039837398373983736,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.88
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.49,1.08
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,677,LUXA,LUXA,15/10/2021,$10.00,C,0.00014749262536873156,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,175,.VIX,VIX,18/08/2021,$18.00,P,1.03,UBS-CUST,Per Unit,0.05,0.02,0,12.25
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,500,.VIX,VIX,18/08/2021,$20.00,C,0.66,UBS-CUST,Per Unit,0.05,0.02,0,35.00
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,305,.VIX,VIX,17/11/2021,$23.00,C,3.9,UBS-CUST,Per Unit,0.05,0.02,0,21.35
0,08/11/2021,DSmanik,WEX-SWEEP,SLO,259,BTWN,BTWN,15/10/2021,$10.00,C,0.0007692307692307692,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.98
0,08/11/2021,DSmanik,WEX-SWEEP,BYO,207,MYPS,MYPS,20/08/2021,$5.00,P,0.02027027027027027,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.22
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,NaN,.VIX,VIX,17/11/2021,$22.00,P,NaN,UBS-CUST,Per Unit,0.05,0.02,0,210.00
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,NaN,.VIX,VIX,17/11/2021,$23.00,P,NaN,UBS-CUST,Per Unit,0.05,0.02,0,84.00
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,NaN,.VIX,VIX,17/11/2021,$23.00,C,NaN,UBS-CUST,Per Unit,0.05,0.02,0,84.00
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,46,BTWN,BTWN,15/10/2021,$10.00,C,0.008333333333333333,VIVALDI-OMNI,Per Unit,0.05,0,-0.86,0.64
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,46,LUXA,LUXA,15/10/2021,$10.00,C,0.00425531914893617,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.63
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,BYC,9,IPOF,IPOF,20/08/2021,$10.00,C,0.018823529411764708,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,SLO,9,IPOF,IPOF,19/11/2021,$10.00,C,0.15,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,SLO,547,PIPP,PIPP,15/10/2021,$10.00,C,0.0009057971014492754,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.52
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,NaN,.VIX,VIX,20/10/2021,$20.00,P,NaN,UBS-CUST,Per Unit,0.05,0.02,0,105.00
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,585,.VIX,VIX,20/10/2021,$21.00,P,3.6299999999999994,UBS-CUST,Per Unit,0.05,0.02,0,40.95
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,585,.VIX,VIX,20/10/2021,$21.00,C,3.25,UBS-CUST,Per Unit,0.05,0.02,0,40.95
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,81,.VIX,VIX,20/10/2021,$21.00,P,3.5899999999999994,UBS-CUST,Per Unit,0.05,0.02,0,5.67
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,81,.VIX,VIX,20/10/2021,$21.00,C,3.33,UBS-CUST,Per Unit,0.05,0.02,0,5.67
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,SLO,905,PIPP,PIPP,15/10/2021,$10.00,C,0.00011037527593818985,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.79
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,BYO,383,IPOF,IPOF,20/08/2021,$10.00,C,0.00010416666666666667,VIVALDI-OMNI,Per Unit,0.05,0,0.47,0.07
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,SLO,383,IPOF,IPOF,19/11/2021,$10.00,C,0.0010416666666666667,VIVALDI-OMNI,Per Unit,0.05,0,0.47,0.55
0,8/13/2021,DSmanik,WEX-SWEEP,SLO,187,LUXA,LUXA,15/10/2021,$10.00,C,0.0010582010582010583,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.24
0,8/13/2021,DSmanik,WEX-SWEEP,SLO,100,PPC,PPC,20/08/2021,$28.00,C,0.017475728155339803,HAVENS-OMNI,Per Unit,0.05,0,-0.85,0.82
0,8/13/2021,DSmanik,WEX-SWEEP,SLC,200,MYPS,MYPS,20/08/2021,$5.00,P,0.01951219512195122,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.23
0,8/13/2021,DSmanik,WEX-SWEEP,BYO,200,SKIN,SKIN,19/11/2021,$12.50,P,0.0058823529411764705,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.98
0,8/16/2021,DSmanik,WEX-BESTX-OPT,SLO,96,IPOF,IPOF,19/11/2021,$10.00,C,0.030857142857142854,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.68
0,8/16/2021,DSmanik,WEX-SWEEP,SLC,200,MYPS,MYPS,20/08/2021,$5.00,P,0.04186046511627907,DIFESA-OMNI,Per Unit,0.05,0,-0.85,0.87
0,8/17/2021,DSmanik,WEX-SWEEP-SPRD,SLO,300,EWT,EWT,20/08/2021,$60.00,P,0.007019867549668875,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,0.56
0,8/17/2021,DSmanik,WEX-SWEEP-SPRD,SLO,300,EWT,EWT,17/09/2021,$55.00,P,0.00728476821192053,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,0.46
