Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch. Fee Rate,Clearing Fee,Total Charge
6/1/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,500,TSM,TSM,2021-09-17,$120.00,C,$6.80,UBS-CUST,Per Unit,0.0500,0.0200,0.0000,0.0000,$35.0000
6/1/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,840,.VIX,VIX,2021-07-21,$21.00,P,$3.10,UBS-CUST,Per Unit,0.0500,0.0200,0.0000,0.0000,$58.8000
6/1/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,840,.VIX,VIX,2021-07-21,$21.00,C,$3.05,UBS-CUST,Per Unit,0.0500,0.0200,0.0000,0.0000,$58.8000
6/1/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"2,000",.VIX,VIX,2021-07-21,$25.00,C,$2.22,UBS-CUST,Per Unit,0.0500,0.0200,0.0000,0.0000,$140.0000
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,2021-06-18,$16.00,C,$0.18,VIVALDI,Per Unit,0.0500,0.0000,0.0025,0.0000,$0.8925
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,2021-06-18,$16.00,C,$0.18,VIVALDI,Per Unit,0.0500,0.0000,0.0025,0.0000,$0.8925
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,50,CLDR,CLDR,2021-06-18,$16.00,C,$0.20,VIVALDI,Per Unit,0.0500,0.0000,-0.2500,0.0000,$(10.0000)
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,CLDR,CLDR,2021-06-18,$16.00,C,$0.18,VIVALDI,Per Unit,0.0500,0.0000,0.0025,0.0000,$0.1575
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,CLDR,CLDR,2021-06-18,$16.00,C,$0.18,VIVALDI,Per Unit,0.0500,0.0000,0.0025,0.0000,$0.1050
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,7,CLDR,CLDR,2021-06-18,$16.00,C,$0.20,VIVALDI,Per Unit,0.0500,0.0000,-0.2500,0.0000,$(1.4000)
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,CLDR,CLDR,2021-06-18,$16.00,C,$0.17,VIVALDI,Per Unit,0.0500,0.0000,0.0000,0.0000,$0.0500
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,CLDR,CLDR,2021-06-18,$16.00,C,$0.18,VIVALDI,Per Unit,0.0500,0.0000,0.0025,0.0000,$0.1050
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,CLDR,CLDR,2021-06-18,$16.00,C,$0.18,VIVALDI,Per Unit,0.0500,0.0000,0.0025,0.0000,$0.0525
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,CLDR,CLDR,2021-06-18,$16.00,C,$0.17,VIVALDI,Per Unit,0.0500,0.0000,0.0000,0.0000,$0.4000
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,CLDR,CLDR,2021-06-18,$16.00,C,$0.17,VIVALDI,Per Unit,0.0500,0.0000,0.0000,0.0000,$0.4000
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,2021-06-18,$16.00,C,$0.18,VIVALDI,Per Unit,0.0500,0.0000,0.0025,0.0000,$0.8925
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,2021-06-18,$16.00,C,$0.18,VIVALDI,Per Unit,0.0500,0.0000,0.0025,0.0000,$0.8925
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,25,CLDR,CLDR,2021-06-18,$16.00,C,$0.20,VIVALDI,Per Unit,0.0500,0.0000,-0.2500,0.0000,$(5.0000)
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,25,CLDR,CLDR,2021-06-18,$16.00,C,$0.20,VIVALDI,Per Unit,0.0500,0.0000,-0.2500,0.0000,$(5.0000)
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,CLDR,CLDR,2021-06-18,$16.00,C,$0.17,VIVALDI,Per Unit,0.0500,0.0000,0.0000,0.0000,$0.2000
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,CLDR,CLDR,2021-06-18,$16.00,C,$0.17,VIVALDI,Per Unit,0.0500,0.0000,0.0000,0.0000,$0.2000
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,13,CLDR,CLDR,2021-06-18,$16.00,C,$0.20,VIVALDI,Per Unit,0.0500,0.0000,-0.2500,0.0000,$(2.6000)
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,12,CLDR,CLDR,2021-06-18,$16.00,C,$0.20,VIVALDI,Per Unit,0.0500,0.0000,-0.2500,0.0000,$(2.4000)
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,CLDR,CLDR,2021-06-18,$16.00,C,$0.17,VIVALDI,Per Unit,0.0500,0.0000,0.0000,0.0000,$0.1500
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,CLDR,CLDR,2021-06-18,$16.00,C,$0.17,VIVALDI,Per Unit,0.0500,0.0000,0.0000,0.0000,$0.1000
6/1/2021,DSmanik,WEX-SWEEP-SPRD,SLO,6,CLDR,CLDR,2021-06-18,$16.00,C,$0.20,VIVALDI,Per Unit,0.0500,0.0000,-0.2500,0.0000,$(1.2000)
