WEX Connect Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch. Fee Rate,Clearing Fee,Total Charge
0,2/8/2021,EMureau,ISE-OPT,BYO,14,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.7000
0,2/8/2021,EMureau,CBOE-OPT,BYO,7,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.3500
0,2/8/2021,EMureau,CBOE-OPT,BYO,7,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.3500
0,2/8/2021,EMureau,ISE-OPT,BYO,10,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.5000
0,2/8/2021,EMureau,ISE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,5,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.2500
0,2/8/2021,EMureau,CBOE-OPT,BYO,2,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1000
0,2/8/2021,EMureau,CBOE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,3,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1500
0,2/8/2021,EMureau,ISE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,ISE-OPT,BYO,2,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1000
0,2/8/2021,EMureau,ISE-OPT,BYO,5,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.2500
0,2/8/2021,EMureau,ISE-OPT,BYO,2,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1000
0,2/8/2021,EMureau,ISE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,6,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.3000
0,2/8/2021,EMureau,CBOE-OPT,BYO,5,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.2500
0,2/8/2021,EMureau,CBOE-OPT,BYO,3,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1500
0,2/8/2021,EMureau,CBOE-OPT,BYO,8,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.4000
0,2/8/2021,EMureau,CBOE-OPT,BYO,3,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1500
0,2/8/2021,EMureau,ISE-OPT,BYO,14,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.7000
0,2/8/2021,EMureau,ISE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,3,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1500
0,2/8/2021,EMureau,CBOE-OPT,BYO,21,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$1.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,9,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.4500
0,2/8/2021,EMureau,CBOE-OPT,BYO,6,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.3000
0,2/8/2021,EMureau,CBOE-OPT,BYO,10,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.5000
0,2/8/2021,EMureau,ISE-OPT,BYO,5,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.2500
0,2/8/2021,EMureau,ISE-OPT,BYO,11,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.5500
0,2/8/2021,EMureau,ISE-OPT,BYO,6,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.3000
0,2/8/2021,EMureau,ISE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,ISE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,26,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$1.3000
0,2/8/2021,EMureau,CBOE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,2,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1000
0,2/8/2021,EMureau,CBOE-OPT,BYO,2,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1000
0,2/8/2021,EMureau,CBOE-OPT,BYO,2,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1000
0,2/8/2021,EMureau,CBOE-OPT,BYO,2,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1000
0,2/8/2021,EMureau,CBOE-OPT,BYO,2,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1000
0,2/8/2021,EMureau,ISE-OPT,BYO,24,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$1.2000
0,2/8/2021,EMureau,CBOE-OPT,BYO,5,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.2500
0,2/8/2021,EMureau,ISE-OPT,BYO,37,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$1.8500
0,2/8/2021,EMureau,CBOE-OPT,BYO,12,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.6000
0,2/8/2021,EMureau,CBOE-OPT,BYO,13,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.6500
0,2/8/2021,EMureau,ISE-OPT,BYO,25,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$1.2500
0,2/8/2021,EMureau,CBOE-OPT,BYO,3,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1500
0,2/8/2021,EMureau,CBOE-OPT,BYO,3,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.1500
0,2/8/2021,EMureau,CBOE-OPT,BYO,1,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.0500
0,2/8/2021,EMureau,CBOE-OPT,BYO,5,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.2500
0,2/8/2021,EMureau,ISE-OPT,BYO,13,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$0.6500
0,2/8/2021,EMureau,ISE-OPT,BYO,25,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$1.2500
0,2/8/2021,EMureau,ISE-OPT,BYO,25,DBX,DBX,2021-04-16,$16.00,P,$0.29,CITI,Per Unit,0.05,0,0,$1.2500
