Commission Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,WEX Connect Rate,Exch. Fee Rate,Clearing Fee,Total Charge
0,10/04/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,380,.VIX,VIX,10/20/2021,$23.00 ,P,$2.62 ,UBS-CUST,Per Unit,0.02,0,0,$7.60 
0,10/04/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,380,.VIX,VIX,10/20/2021,$23.00 ,C,$2.36 ,UBS-CUST,Per Unit,0.02,0,0,$7.60 
0,10/04/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"2,000",.VIX,VIX,10/20/2021,$35.00 ,C,$0.70 ,UBS-CUST,Per Unit,0.02,0,0,$40.00 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,-0.86,0,($0.81)
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,4,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.20 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$2.70 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,4,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.21 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,10,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$9.00 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$2.70 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$1.80 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,4,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.20 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,12,LICY,LICY,10/15/2021,$15.00 ,C,$0.14 ,DIFESA-OMNI,Per Unit,0,0.85,0,$10.80 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$2.70 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.79,0,$2.52 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,12,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,-0.5,0,($5.40)
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$2.70 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.11 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,24,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$21.60 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,47,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$42.30 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,4,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.20 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,4,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.21 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,4,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.20 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,9,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$8.10 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,4,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.20 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,4,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.21 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,7,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.37 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,20,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$1.00 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,25,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$1.25 
