WEX Connect Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,,Exch. Fee Rate,Clearing Fee,Total Charge
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,67,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$3.5175
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,100,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(20.0000)
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,83,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$4.3575
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1575
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1575
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1575
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1575
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1575
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,-0.42,0,$(0.3700)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,-0.43,0,$(0.3800)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,-0.3,0,$(0.2500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,-0.43,0,$(0.3800)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.43,0,$(0.3800)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.3,0,$(0.2500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0,0,$0.0500
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0.0025,0,$0.0525
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,20,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,0,0,$1.0000
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,42,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,0.0025,0,$2.2050
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,63,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,MILTON,Per Unit,0.05,,-0.25,0,$(12.6000)
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,67,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$3.5175
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0,0,$0.2000
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,6,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0,0,$0.3000
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0,0,$0.3500
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.2,0,$(0.4500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0.0025,0,$0.5250
