Date,User,Route,Side,"Exec Qty",Security,Root,Expiry,Strike,Call/Put,"Average Price",Portfolio,"Commission Type","Commission Rate","WEX Connect Rate","Exch. Fee Rate","Clearing Fee","Total Charge",group_quantity,group_price,group_charge
1/15/2021,EMureau,ISE-OPT,SLO,10,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.5000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,10,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.5000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,3,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,11,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.5500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.3500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.3500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.3500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.3500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.3500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,2,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,2,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,2,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,9,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.4500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,13,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.6500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,2,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,3,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,2,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.1000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,4,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.2000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,10,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.5000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,4,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.2000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,13,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.6500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,9,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.4500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,18,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.9000,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.0500,245,3.2,12.25
1/15/2021,EMureau,ISE-OPT,SLO,11,PINS,PINS,2021-06-18,$47.00,P,$3.20,BNP,"Per Unit",0.0500,0.0000,0.0000,0.0000,$0.5500,245,3.2,12.25
