Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch. Fee Rate,Total Charge
0,06/01/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,500,TSM,TSM,17/09/2021,$120.00,C,$6.80,UBS-CUST,Per Unit,0.05,0.02,0,$35.0000
0,06/01/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,840,.VIX,VIX,21/07/2021,$21.00,P,$3.10,UBS-CUST,Per Unit,0.05,0.02,0,$58.8000
0,06/01/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,840,.VIX,VIX,21/07/2021,$21.00,C,$3.05,UBS-CUST,Per Unit,0.05,0.02,0,$58.8000
0,06/01/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"2,000",.VIX,VIX,21/07/2021,$25.00,C,$2.22,UBS-CUST,Per Unit,0.05,0.02,0,$140.0000
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.8925
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.8925
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,50,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(10.0000)
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.1575
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.1050
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,7,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(1.4000)
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.0500
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.1050
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.0525
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.4000
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.4000
