Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge,drv_trade_client_account_execution_id
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),8/2/2021,dsmanik,s,7,ipof,ipof,9/17/2021,10,c,0.11,vivaldi,per unit,0.05,-1.84,319921
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,500,EEM,EEM,20/01/2023,$40.00,P,$1.83,UBS-CUST,Per Unit,0.05,0,0.02,$35.0000,8/2/2021,dfilippidis,b,500,eem,eem,1/20/2023,40,p,1.83,ubs,per unit,0.05,35,319921
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,17/06/2022,$35.00,P,$4.10,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,8/2/2021,dfilippidis,b,1000,gdx,gdx,6/17/2022,35,p,4.1,ubs,per unit,0.05,70,319921
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,17/06/2022,$35.00,C,$3.95,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,8/2/2021,dfilippidis,b,1000,gdx,gdx,6/17/2022,35,c,3.95,ubs,per unit,0.05,70,319921
0,08/02/2021,DFilippidis,AWAY-MIZUHO-OSCARGRUSS,BYO,300,PYPL,PYPL,20/08/2021,$270.00,P,$5.65,MIZUHO,Per Unit,0.05,0,0.02,$21.0000,8/2/2021,dfilippidis,b,300,pypl,pypl,8/20/2021,270,p,5.65,mizuho,per unit,0.05,21,319921
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$5.5000,8/3/2021,dsmanik,s,68,ipof,ipof,9/17/2021,10,c,0.09,vivaldi,per unit,0.05,24.99,329511
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,40,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$2.1000,8/3/2021,dsmanik,s,250,luxa,luxa,10/15/2021,10,c,0.16,milton,per unit,0.05,12.86,329511
0,08/03/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,700,PSTG,PSTG,20/01/2023,$17.50,P,$3.00,UBS-CUST,Per Unit,0.05,0,0.02,$49.0000,8/3/2021,dfilippidis,b,700,pstg,pstg,1/20/2023,17.5,p,3,ubs,per unit,0.05,49,329511
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,8,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$7.2000,8/3/2021,dsmanik,b,500,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,181.6,329511
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,-0.86,0,$(4.0500),8/3/2021,dsmanik,b,5,cyxt,cyxt,9/17/2021,7.5,p,0.35,difesa,per unit,0.05,-4.05,329511
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.4000,8/3/2021,dsmanik,s,200,luxa,luxa,10/15/2021,10,c,0.15,vivaldi,per unit,0.05,122.19,329511
0,08/03/2021,DSmanik,WEX-BESTX-OPT,BYO,1,SPAK,SPAK,17/09/2021,$20.00,P,$0.45,DIFESA-OMNI,Per Unit,0.05,-0.85,0,$(0.8000),8/3/2021,dsmanik,b,1,spak,spak,9/17/2021,20,p,0.45,difesa,per unit,0.05,-0.8,329511
0,08/04/2021,DSmanik,WEX-SWEEP-SPRD,SLO,250,LUXA,LUXA,15/10/2021,$10.00,C,$0.13,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$13.1250,8/4/2021,dsmanik,s,290,luxa,luxa,10/15/2021,10,c,0.13,vivaldi,per unit,0.05,15.23,326065
0,08/05/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,800,GDX,GDX,20/01/2023,$31.00,P,$3.05,UBS-CUST,Per Unit,0.05,0,0.02,$56.0000,8/5/2021,dfilippidis,b,800,gdx,gdx,1/20/2023,31,p,3.05,ubs,per unit,0.05,56,333499
0,08/05/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000,8/5/2021,dsmanik,s,52,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,2.6,333499
0,08/05/2021,DSmanik,WEX-SWEEP,BYO,3,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI,Per Unit,0.05,0.85,0,$2.7000,8/5/2021,dsmanik,b,473,myps,myps,8/20/2021,5,p,0.2,difesa,per unit,0.05,171.7,333499
0,08/05/2021,DSmanik,WEX-SWEEP,SLO,2,AGCB,AGCB,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0800,8/5/2021,dsmanik,s,261,agcb,agcb,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,12.91,333499
0,08/06/2021,DSmanik,CBOE-OPT,BYO,1,BLUE,BLUE,20/08/2021,$65.00,C,$0.10,CITIFB,Per Unit,0.05,0.0025,0,$0.0525,8/6/2021,dsmanik,b,1,blue,blue,8/20/2021,65,c,0.1,citifb,per unit,0.05,0.05,326111
0,08/06/2021,DSmanik,WEX-SWEEP-SPRD,SLO,100,AGCB,AGCB,15/10/2021,$10.00,C,$0.07,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$5.2500,8/6/2021,dsmanik,s,110,agcb,agcb,10/15/2021,10,c,0.07,vivaldi,per unit,0.05,5.78,326111
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000,8/6/2021,dsmanik,b,250,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,12.5,326111
0,08/06/2021,DSmanik,ISE-OPT,SLO,2,FSLY,FSLY,20/01/2023,$60.00,C,$8.05,BNP,Per Unit,0.05,0,0,$0.1000,8/6/2021,dsmanik,s,15,fsly,fsly,1/20/2023,60,c,8.01,bnp,per unit,0.05,0.75,326111
