drv_trade_id,drv_trade_client_trader_id,drv_trade_client_account_execution_id,floor_broker,date,side,quantity,component_type,contract_type,symbol,expiry,strike,option,price,client_id,client,trader,modifiedDate,modifiedSide,modifiedQuantity,modifiedSymbol,modifiedExpiry,modifiedExpiryMonthOnly,modifiedExpiryYearOnly,modifiedStrike,modifiedOption,modifiedPrice,charge,groupsSeparated,key
59789,122307,309467,WEX FIX,06/01/2021,sell,2688,leg,option,CLDR,6/18/2021,16,call,0.1489,714,vivaldi,bnp account,1/6/2021,s,2688,cldr,18/6/2021,6,2021,16,c,0.15,291.4280727272727,undefined,undefined
59789,122308,309469,WEX FIX,06/01/2021,sell,62,leg,option,CLDR,6/18/2021,16,call,0.1489,714,vivaldi,gs account,1/6/2021,s,62,cldr,18/6/2021,6,2021,16,c,0.15,6.721927272727273,undefined,undefined
54927,111913,282169,Mando,06/02/2021,sell,489,leg,option,CLDR,6/18/2021,16,call,0.1032,714,vivaldi,bnp account,2/6/2021,s,489,cldr,18/6/2021,6,2021,16,c,0.1,100.54818,undefined,undefined
54927,111914,282171,Mando,06/02/2021,sell,11,leg,option,CLDR,6/18/2021,16,call,0.1032,714,vivaldi,gs account,2/6/2021,s,11,cldr,18/6/2021,6,2021,16,c,0.1,2.26182,undefined,undefined
54645,111249,280493,Mando,06/03/2021,buy,2500,leg,option,ITUB,1/21/2022,6,put,0.62,251,ubs,Jerry Kao,3/6/2021,b,2500,itub,21/1/2022,1,2022,6,p,0.62,175,undefined,undefined
54645,111250,280495,Mando,06/03/2021,buy,2500,leg,option,ITUB,1/21/2022,6,put,0.62,251,ubs,Elaine Tang,3/6/2021,b,2500,itub,21/1/2022,1,2022,6,p,0.62,175,undefined,undefined
59794,122320,309500,WEX FIX,06/03/2021,sell,32,leg,option,CLDR,6/18/2021,16,call,0.0515,714,vivaldi,bnp account,3/6/2021,s,32,cldr,18/6/2021,6,2021,16,c,0.05,-2.443636363636364,undefined,undefined
59794,122321,309502,WEX FIX,06/03/2021,sell,1,leg,option,CLDR,6/18/2021,16,call,0.0515,714,vivaldi,gs account,3/6/2021,s,1,cldr,18/6/2021,6,2021,16,c,0.05,-0.07636363636363637,undefined,undefined
54875,111766,281789,Mando,06/08/2021,buy,2500,leg,option,ITUB,7/16/2021,6,put,0.11,251,ubs,Jerry Kao,8/6/2021,b,2500,itub,16/7/2021,7,2021,6,p,0.11,175,undefined,undefined
54875,111767,281791,Mando,06/08/2021,buy,2500,leg,option,ITUB,7/16/2021,6,put,0.11,251,ubs,Elaine Tang,8/6/2021,b,2500,itub,16/7/2021,7,2021,6,p,0.11,175,undefined,undefined
