drv_trade_floor_broker_id,drv_trade_client_account_execution_id,charge,rule
2,305894,-0.26285714285714284,N vs N
2,305912,35,N vs N
2,305913,70,N vs N
2,306025,70,N vs N
2,319920,21,N vs N
2,306179,3.675,N vs N
2,306445,2.0576,N vs N
2,322340,49,N vs N
2,322347,2.9055999999999997,N vs N
2,306450,4.8876,N vs N
2,319922,-0.8,N vs N
2,319924,13.129310344827585,N vs N
2,306937,56,N vs N
2,307401,1.0890063424947143,N vs N
2,307402,0.0989272030651341,N vs N
2,307516,0.05,N vs N
2,307851,5.254545454545455,N vs N
2,307861,0.1,N vs N
2,308007,0.3888524590163934,N vs N
2,308124,-0.7944444444444444,N vs N
2,308157,1.416831683168317,N vs N
2,308161,70,N vs N
2,319928,-6.40375,N vs N
2,308324,0.9,N vs N
2,308325,1.08,N vs N
2,308364,0.04672082717872969,N vs N
2,308456,332.5,N vs N
2,308457,154,N vs N
2,308475,154,N vs N
2,308477,0.2,N vs N
2,308480,12.25,N vs N
2,308481,35,N vs N
2,308484,21.35,N vs N
2,308924,-1.5,N vs N
2,308931,0.5556756756756757,N vs N
2,308950,-17.53864734299517,N vs N
2,308952,0.9,N vs N
2,309376,-0.1724561403508772,N vs N
2,309380,-2.9856521739130435,N vs N
2,309384,0.54,N vs N
2,309402,10.460694698354661,N vs N
2,309448,21,N vs N
2,309847,18.939226519337016,N vs N
2,309855,0.47336814621409923,N vs N
2,309856,0.2746524064171123,N vs N
2,309858,-0.0682,N vs N
2,309859,-0.7894,N vs N
2,309860,0.3804,N vs N
2,310417,-0.7509375,N vs N
2,310445,-16.793699999999998,N vs N
2,310947,-3.62,N vs N
2,310949,0.05,N vs N
2,311242,-7.8965000000000005,N vs N
2,311244,-14.99598360655738,N vs N
2,311387,17.5,N vs N
2,311513,206.5,N vs N
2,322348,-5.203625377643505,N vs N
2,312652,-15.8028,N vs N
2,312668,-0.81,N vs N
2,312673,-0.805,N vs N
2,313092,-0.059565217391304354,N vs N
2,313097,2.700251256281407,N vs N
2,313098,3.3876,N vs N
2,313099,42,N vs N
2,314528,35,N vs N
2,314956,-0.6994666666666667,N vs N
2,315061,-1.1691,N vs N
2,326173,-10.250933333333334,N vs N
2,316021,140,N vs N
2,316241,undefined,N vs N
2,314437,21, N vs 1
2,314481,14, N vs 1
