charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id,rule
-0.26285714285714284,319920,1,undefined
35,305894,1,undefined
70,305912,1,undefined
70,305912,1,undefined
21,306025,1,undefined
3.675,306450,1,undefined
2.0576,306445,1,undefined
49,306179,1,undefined
2.9055999999999997,305894,1,undefined
4.8876,319922,1,undefined
-0.8,322347,1,undefined
13.129310344827585,319924,1,undefined
56,306937,1,undefined
1.0890063424947143,307401,1,undefined
0.0989272030651341,307402,1,undefined
0.05,322347,1,undefined
5.254545454545455,307851,1,undefined
0.1,307861,1,undefined
0.3888524590163934,319928,1,undefined
-0.7944444444444444,308157,1,undefined
1.416831683168317,308161,1,undefined
70,305912,1,undefined
-6.40375,308124,1,undefined
0.9,322347,1,undefined
1.08,308457,1,undefined
0.04672082717872969,308475,1,undefined
332.5,308364,1,undefined
154,308324,1,undefined
154,308324,1,undefined
0.2,308456,1,undefined
12.25,308481,1,undefined
35,305894,1,undefined
21.35,308484,1,undefined
-1.5,308457,1,undefined
0.5556756756756757,308950,1,undefined
-17.53864734299517,308924,1,undefined
0.9,322347,1,undefined
-0.1724561403508772,309376,1,undefined
-2.9856521739130435,309380,1,undefined
0.54,309384,1,undefined
10.460694698354661,309402,1,undefined
21,306025,1,undefined
18.939226519337016,309860,1,undefined
0.47336814621409923,309858,1,undefined
0.2746524064171123,309859,1,undefined
-0.0682,309847,1,undefined
-0.7894,319922,1,undefined
0.3804,319922,1,undefined
-0.7509375,310417,1,undefined
-16.793699999999998,319922,1,undefined
-3.62,306025,1,undefined
0.05,310947,1,undefined
-7.8965000000000005,319922,1,undefined
-14.99598360655738,322348,1,undefined
17.5,306445,1,undefined
206.5,311387,1,undefined
-5.203625377643505,312668,1,undefined
-15.8028,305894,1,undefined
-0.81,322347,1,undefined
-0.805,308457,1,undefined
-0.059565217391304354,313098,1,undefined
2.700251256281407,313092,1,undefined
3.3876,313097,1,undefined
42,314528,1,undefined
35,305894,1,undefined
-0.6994666666666667,315061,1,undefined
-1.1691,319922,1,undefined
-10.250933333333334,316021,1,undefined
140,313097,1,undefined
21,314437,1, N vs 1
14,314481,1, N vs 1
