Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge
0,05/03/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",EEM,EEM,15/12/2023,$45.00,P,$4.60,UBS-CUST,Per Unit,0.05,0.02,0,$70.0000,5/3/2021,dfilippidis,b,1000,eem,eem,12/15/2023,45,p,4.6,ubs,per unit,0.05,70
0,05/04/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,500,EEM,EEM,15/12/2023,$45.00,P,$4.80,UBS-CUST,Per Unit,0.05,0.02,0,$35.0000,5/4/2021,dfilippidis,b,500,eem,eem,12/15/2023,45,p,4.8,ubs,per unit,0.05,35
0,05/04/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,374",.VIX,VIX,16/06/2021,$17.00,P,$0.42,UBS-CUST,Per Unit,0.05,0.02,0,$96.1800,5/4/2021,dfilippidis,s,1374,.vix,vix,6/16/2021,17,p,0.42,ubs,per unit,0.05,96.18
0,05/04/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,687,.VIX,VIX,16/06/2021,$20.00,P,$1.60,UBS-CUST,Per Unit,0.05,0.02,0,$48.0900,5/4/2021,dfilippidis,b,687,.vix,vix,6/16/2021,20,p,1.6,ubs,per unit,0.05,48.09
0,5/13/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"5,000",XLF,XLF,16/07/2021,$34.00,P,$0.45,UBS-CUST,Per Unit,0.05,0.02,0,$350.0000,5/13/2021,dfilippidis,b,5000,xlf,xlf,7/16/2021,34,p,0.45,ubs,per unit,0.05,350
0,5/25/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,450,GDX,GDX,20/01/2023,$35.00,P,$4.10,UBS-CUST,Per Unit,0.05,0.02,0,$31.5000,5/25/2021,dfilippidis,b,450,gdx,gdx,1/20/2023,35,p,4.1,ubs,per unit,0.05,31.5
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,10,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0,$0.5000,5/26/2021,dsmanik,s,98,gsah,gsah,7/16/2021,10,c,0.23,milton,per unit,0.05,26.11
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500,5/26/2021,dsmanik,s,102,aap,aap,11/19/2021,165,p,8.17,citi,per unit,0.05,5.1
0,5/27/2021,DSmanik,WEX-SWEEP,SLO,1,GSAH,GSAH,16/07/2021,$10.00,C,$0.26,MILTON,Per Unit,0.05,0,-0.42,$(0.3700),5/27/2021,dsmanik,s,6,gsah,gsah,7/16/2021,10,c,0.27,milton,per unit,0.05,-1.57
0,5/27/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,500,DLTR,DLTR,19/11/2021,$90.00,P,$3.35,UBS-CUST,Per Unit,0.05,0.02,0,$35.0000,5/27/2021,dfilippidis,b,500,dltr,dltr,11/19/2021,90,p,3.35,ubs,per unit,0.05,35
0,5/28/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"1,692",.VIX,VIX,18/08/2021,$21.00,P,$3.30,UBS-CUST,Per Unit,0.05,0.02,0,$118.4400,5/28/2021,dfilippidis,b,1692,.vix,vix,8/18/2021,21,p,3.3,ubs,per unit,0.05,118.44
0,5/28/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,692",.VIX,VIX,18/08/2021,$21.00,C,$3.80,UBS-CUST,Per Unit,0.05,0.02,0,$118.4400,5/28/2021,dfilippidis,s,1692,.vix,vix,8/18/2021,21,c,3.8,ubs,per unit,0.05,118.44
0,5/28/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"3,600",.VIX,VIX,18/08/2021,$25.00,C,$2.80,UBS-CUST,Per Unit,0.05,0.02,0,$252.0000,5/28/2021,dfilippidis,b,3600,.vix,vix,8/18/2021,25,c,2.8,ubs,per unit,0.05,252
