Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),8/2/2021,dsmanik,s,1,ipof,ipof,9/17/2021,10,c,0.11,vivaldi,per unit,0.05,-0.2
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.42,0,$(0.7400),8/2/2021,dsmanik,s,2,ipof,ipof,9/17/2021,10,c,0.11,vivaldi,per unit,0.05,-0.74
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),8/2/2021,dsmanik,s,1,ipof,ipof,9/17/2021,10,c,0.11,vivaldi,per unit,0.05,-0.2
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(0.5000),8/2/2021,dsmanik,s,2,ipof,ipof,9/17/2021,10,c,0.11,vivaldi,per unit,0.05,-0.5
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),8/2/2021,dsmanik,s,1,ipof,ipof,9/17/2021,10,c,0.11,vivaldi,per unit,0.05,-0.2
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,500,EEM,EEM,20/01/2023,$40.00,P,$1.83,UBS-CUST,Per Unit,0.05,0,0.02,$35.0000,8/2/2021,dfilippidis,b,500,eem,eem,1/20/2023,40,p,1.83,ubs,per unit,0.05,35
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,17/06/2022,$35.00,P,$4.10,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,8/2/2021,dfilippidis,b,1000,gdx,gdx,6/17/2022,35,p,4.1,ubs,per unit,0.05,70
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,17/06/2022,$35.00,C,$3.95,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,8/2/2021,dfilippidis,b,1000,gdx,gdx,6/17/2022,35,c,3.95,ubs,per unit,0.05,70
0,08/02/2021,DFilippidis,AWAY-MIZUHO-OSCARGRUSS,BYO,300,PYPL,PYPL,20/08/2021,$270.00,P,$5.65,MIZUHO,Per Unit,0.05,0,0.02,$21.0000,8/2/2021,dfilippidis,b,300,pypl,pypl,8/20/2021,270,p,5.65,mizuho,per unit,0.05,21
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$5.5000,8/3/2021,dsmanik,s,10,ipof,ipof,9/17/2021,10,c,0.1,vivaldi,per unit,0.05,5.5
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.2000,8/3/2021,dsmanik,s,4,ipof,ipof,9/17/2021,10,c,0.1,vivaldi,per unit,0.05,2.2
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.4000,8/3/2021,dsmanik,s,8,ipof,ipof,9/17/2021,10,c,0.1,vivaldi,per unit,0.05,4.4
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$1.1000,8/3/2021,dsmanik,s,2,ipof,ipof,9/17/2021,10,c,0.1,vivaldi,per unit,0.05,1.1
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.9500,8/3/2021,dsmanik,s,9,ipof,ipof,9/17/2021,10,c,0.1,vivaldi,per unit,0.05,4.95
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/3/2021,dsmanik,s,1,ipof,ipof,9/17/2021,10,c,0.1,vivaldi,per unit,0.05,0.55
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.2000,8/3/2021,dsmanik,s,4,ipof,ipof,9/17/2021,10,c,0.1,vivaldi,per unit,0.05,2.2
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(0.2500),8/3/2021,dsmanik,s,1,ipof,ipof,9/17/2021,10,c,0.08,vivaldi,per unit,0.05,-0.25
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0.48,0,$4.2400,8/3/2021,dsmanik,s,8,ipof,ipof,9/17/2021,10,c,0.08,vivaldi,per unit,0.05,4.24
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800,8/3/2021,dsmanik,s,2,ipof,ipof,9/17/2021,10,c,0.08,vivaldi,per unit,0.05,1.08
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,40,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$2.1000,8/3/2021,dsmanik,s,40,luxa,luxa,10/15/2021,10,c,0.17,milton,per unit,0.05,2.1
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,29,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$1.5225,8/3/2021,dsmanik,s,29,luxa,luxa,10/15/2021,10,c,0.17,milton,per unit,0.05,1.5225
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,56,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$2.9400,8/3/2021,dsmanik,s,56,luxa,luxa,10/15/2021,10,c,0.17,milton,per unit,0.05,2.94
0,08/03/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,700,PSTG,PSTG,20/01/2023,$17.50,P,$3.00,UBS-CUST,Per Unit,0.05,0,0.02,$49.0000,8/3/2021,dfilippidis,b,700,pstg,pstg,1/20/2023,17.5,p,3,ubs,per unit,0.05,49
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,28,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$1.4700,8/3/2021,dsmanik,s,28,luxa,luxa,10/15/2021,10,c,0.17,milton,per unit,0.05,1.47
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,8,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$7.2000,8/3/2021,dsmanik,b,8,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,7.2
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,8,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$7.2000,8/3/2021,dsmanik,b,8,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,7.2
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,16,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$14.4000,8/3/2021,dsmanik,b,16,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,14.4
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,3,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$2.7000,8/3/2021,dsmanik,b,3,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,2.7
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$4.5000,8/3/2021,dsmanik,b,5,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,4.5
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$0.9000,8/3/2021,dsmanik,b,1,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.9
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,12,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.0025,0,$0.6300,8/3/2021,dsmanik,b,12,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.63
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.2000,8/3/2021,dsmanik,b,4,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.2
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,10,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.01,0,$0.4000,8/3/2021,dsmanik,b,10,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.4
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,28,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$25.2000,8/3/2021,dsmanik,b,28,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,25.2
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,11,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5500,8/3/2021,dsmanik,b,11,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.55
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.0025,0,$0.0525,8/3/2021,dsmanik,b,1,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.0525
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500,8/3/2021,dsmanik,b,1,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.05
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,2,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$1.8000,8/3/2021,dsmanik,b,2,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,1.8
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$0.9000,8/3/2021,dsmanik,b,1,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.9
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.65,0,$2.8000,8/3/2021,dsmanik,b,4,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,2.8
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,12,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.01,0,$0.4800,8/3/2021,dsmanik,b,12,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.48
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.01,0,$0.0400,8/3/2021,dsmanik,b,1,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.04
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,11,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$9.9000,8/3/2021,dsmanik,b,11,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,9.9
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,3,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$2.7000,8/3/2021,dsmanik,b,3,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,2.7
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,16,CANO,CANO,17/09/2021,$7.50,P,$0.14,DIFESA-OMNI,Per Unit,0.05,0.85,0,$14.4000,8/3/2021,dsmanik,b,16,cano,cano,9/17/2021,7.5,p,0.14,difesa,per unit,0.05,14.4
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$3.6000,8/3/2021,dsmanik,b,4,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,3.6
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,20,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$18.0000,8/3/2021,dsmanik,b,20,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,18
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,16,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.8000,8/3/2021,dsmanik,b,16,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.8
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,11,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5500,8/3/2021,dsmanik,b,11,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,0.55
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,152,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$7.6000,8/3/2021,dsmanik,b,152,cano,cano,9/17/2021,7.5,p,0.15,difesa,per unit,0.05,7.6
