charge,drv_trade_client_account_execution_id,drv_trade_floor_broker_id
35,305894,1
70,305912,1
70,305913,1
21,306025,1
-0.26285714285714284,319920,1
49,306179,1
2.0576,306445,1
35,322340,1
-0.8,322347,1
3.675,306450,1
NaN,319922,1
NaN,319923,1
0.0989272030651341,319924,1
NaN,319926,1
56,306937,1
1.0890063424947143,307401,1
0.0989272030651341,307402,1
-0.8,307516,1
5.254545454545455,307851,1
0.1,307861,1
70,308007,1
-6.40375,308124,1
NaN,308157,1
0.2,308159,1
NaN,308161,1
NaN,308163,1
0.3888524590163934,319928,1
154,308324,1
154,308325,1
332.5,308364,1
0.2,308456,1
1.08,308457,1
NaN,308475,1
3.675,308476,1
-0.8,308477,1
35,308480,1
12.25,308481,1
21.35,308484,1
-17.53864734299517,308924,1
1.08,308931,1
0.5556756756756757,308950,1
-0.8,308952,1
NaN,309376,1
-0.8,309378,1
-2.9856521739130435,309380,1
0.54,309384,1
NaN,309402,1
NaN,309404,1
21,309448,1
-0.0682,309847,1
4.8876,309855,1
4.8876,309856,1
0.47336814621409923,309858,1
0.2746524064171123,309859,1
18.939226519337016,309860,1
-0.7509375,310417,1
4.8876,310445,1
0.05,310947,1
21,310949,1
2.0576,311242,1
2.0576,311244,1
206.5,311387,1
4.8876,311513,1
-14.99598360655738,322348,1
35,312652,1
-5.203625377643505,312668,1
-0.8,312673,1
2.700251256281407,313092,1
3.3876,313097,1
-0.059565217391304354,313098,1
1.08,313099,1
42,314528,1
4.8876,314956,1
-0.6994666666666667,315061,1
35,326173,1
-10.250933333333334,316021,1
3.3876,316241,1
21,314437,1
14,314481,1
