ise_mt,Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID,modifiedTradeDate,modifiedExch,modifiedBS,modifiedPC,modifiedClass,modifiedSym,modifiedStrike,modifiedPrice,modifiedQty,modifiedOC,modifiedCFM,modifiedExBrok,modifiedTotalCharges
,01/04/21,AMEX,S,C,500,IFF,IFF,2,2021,150,0.92,C,P,214455844,,E35J,,444,792,oscarg,oscarg,,,,,,,,,N,0.1,50,125,0,175,130073071,1/4/2021,amex,s,c,iff,iff,150,0.37,1500,c,p,e35j,525
,01/04/21,AMEX,B,P,500,IFF,IFF,2,2021,150,47,C,P,214455844,,E35J,,444,792,oscarg,oscarg,,,,,,,,,N,0.1,50,125,0,175,130072614,1/4/2021,amex,b,p,iff,iff,150,46.97,1500,c,p,e35j,525
,01/04/21,AMEX,S,P,600,IWM,IWM,2,2021,160,1.46,C,C,214452944,,E35J,,50,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,60,0,0,60,130146825,1/4/2021,amex,s,p,iwm,iwm,160,1.39,1125,c,c,e35j,112.5
,01/04/21,AMEX,B,P,400,IWM,IWM,2,2021,180,4.59,C,C,214452944,,E35J,,50,792,oscarg,oscarg,,,,,etf_iwm,Y,,,N,0.1,40,0,0,40,130145988,1/4/2021,amex,b,p,iwm,iwm,180,4.42,750,c,c,e35j,75
,01/04/21,CBOE,S,P,300,SPX,SPX,2,2021,2875,9.76,C,P,6214000MC,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,30,177,0,207,130072825,1/4/2021,cboe,s,p,spx,spx,2875,9.76,300,c,p,bmls,207
,01/04/21,CBOE,S,P,100,SPX,SPX,2,2021,3300,34.3,C,P,6214000J6,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,10,59,0,69,130123551,1/4/2021,cboe,s,p,spx,spx,3300,34.3,150,c,p,xchg,103.5
,01/04/21,CBOE,S,P,800,SPX,SPX,3,2021,2800,12.61,C,F,62140005R,,XCHG,,286,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,80,344,0,424,130081401,1/4/2021,cboe,s,p,spx,spx,2800,12.61,1100,c,f,xchg,583
,01/04/21,CBOE,B,P,800,SPX,SPX,3,2021,2800,12.61,C,B,62140006I,,XCHG,,284,792,oscarg,oscarg,,,,,index_spx,,,,R,0.1,80,472,0,552,130080345,1/4/2021,cboe,b,p,spx,spx,2800,12.61,800,c,b,xchg,552
,01/04/21,CBOE,S,C,2,SPX,SPX,3,2021,3655,155,C,P,6214000MC,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,0.2,1.18,0,1.38,130070620,1/4/2021,cboe,s,c,spx,spx,3655,155,2,c,p,bmls,1.38
,01/04/21,CBOE,S,P,14,SPX,SPX,3,2021,3665,147,C,P,6214000J6,,XCHG,,444,792,oscarg,oscarg,,,,,index_spx,,,,A,0.1,1.4,8.26,0,9.66,130123402,1/4/2021,cboe,s,p,spx,spx,3665,147,21,c,p,xchg,14.49
