ise_mt,Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
,08/03/21,AMEX,S,C,2,SPOT,SPOT,10,2021,230,9.44,C,C,CO41H7LP170,BLPOPT_20210803-00191-00001LSPOTOCT230C,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,,,,A,0.1,0.2,0,0.04,0.24,168107710
,08/03/21,AMEX,B,P,2,SPOT,SPOT,10,2021,230,23.34,O,C,CO41H7LP170,BLPOPT_20210803-00191-00001BSPOTOCT230P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,,,,A,0.1,0.2,0,0.04,0.24,168116107
,08/03/21,BOSTON,S,C,750,DIS,DIS,1,2023,240,5.32,C,C,BOXNYC5758,,938,,352,792,oscarg,oscarg,,,,,,Y,,,A,0.1,75,-375,0,-300,168142439
,08/03/21,ISE,S,C,3,SPOT,SPOT,10,2021,230,9.46,C,C,CO41H7LP170,BLPOPT_20210803-00191-00001LSPOTOCT230C,EBS,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,,,,12,0.1,0.3,-1.2,0.06,-0.84,168107162
,08/03/21,ISE,B,P,3,SPOT,SPOT,10,2021,230,23.34,O,C,CO41H7LP170,BLPOPT_20210803-00191-00001BSPOTOCT230P,EBS,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,,,,12,0.1,0.3,-1.2,0.06,-0.84,168106271
,08/04/21,AMEX,S,C,850,UBER,UBER,11,2021,47.5,2.06,C,P,229208134,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,N,0.1,85,212.5,0,297.5,168291703
,08/04/21,BOSTON,S,C,10,MELI,MELI,1,2022,1900,66.7,C,C,BOXNYC2639,,938,,608,792,oscarg,oscarg,,,,,,,,,A,0.1,1,0,0,1,168276969
,08/04/21,NYSE/ARCA,B,C,40,FEYE,FEYE,8,2021,20,1.17,O,C,CO11HA883P0,BLPOPT_20210804-00092-00001,B27,,792,792,2462,oscarg,OGRUBB960C-XPFS,15110167,BLPOPT,OGRUDMA,,Y,SR,,A,0.1,4,-20,0.8,-15.2,168388532
,08/05/21,AMEX,S,C,400,DIS,DIS,6,2022,220,4.65,O,N,229289365,,E35J,362,10,792,oscarg,oscarg,,,,,,Y,,,N,0.1,40,100,0,140,168609495
,08/05/21,AMEX,B,P,8,WIX,WIX,9,2021,270,14.45,O,C,CO31HCQGNNV,BLPOPT_20210805-00100-00005BWIXSEP270P,B13,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,,,A,0.1,0.8,0,0.16,0.96,168523618
