Exch\. Fee Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Clearing Fee,Total Charge,drv_trade_client_account_execution_id
0,03/10/2021,EMureau,ISE-OPT,SLO,2,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1000,303512
0,03/10/2021,EMureau,ISE-OPT,SLO,1,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.0500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,4,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.2000,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,4,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.2000,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,3,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,14,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.7000,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,1,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.0500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,1,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.0500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,2,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1000,303512
0,03/10/2021,EMureau,ISE-OPT,SLO,3,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,2,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1000,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,2,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1000,303512
0,03/10/2021,EMureau,ISE-OPT,SLO,3,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,5,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.2500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,5,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.2500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,2,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1000,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,18,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.9000,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,1,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.0500,303512
0,03/10/2021,EMureau,ISE-OPT,SLO,3,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.1500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,1,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.0500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,1,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.0500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,1,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.0500,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,4,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.2000,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,6,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.3000,303512
0,03/10/2021,EMureau,CBOE-OPT,SLO,4,AEM,AEM,21/05/2021,$50.00,P,$1.25,GOLDMAN,Per Unit,0.05,0,0,$0.2000,303512
