Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge,drv_trade_client_account_execution_id
0,06/01/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,840,.VIX,VIX,21/07/2021,$21.00,C,$3.05,UBS-CUST,Per Unit,0.05,0.02,0,$58.8000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,5,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.2500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,5,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.2500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.30,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,20,NVAX,NVAX,16/07/2021,$135.00,P,$13.35,BNP,Per Unit,0.05,0,0,$1.0000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,5,NVAX,NVAX,16/07/2021,$135.00,P,$13.35,BNP,Per Unit,0.05,0,0,$0.2500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.20,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,5,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.2500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,1,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.0500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,5,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.2500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,4,NVAX,NVAX,16/07/2021,$135.00,P,$13.20,BNP,Per Unit,0.05,0,0,$0.2000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,1,NVAX,NVAX,16/07/2021,$135.00,P,$13.20,BNP,Per Unit,0.05,0,0,$0.0500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,1,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.0500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,1,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.0500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,1,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.0500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,1,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.0500,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,2,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$0.1000,323856
0,06/01/2021,DSmanik,ISE-OPT,SLO,34,NVAX,NVAX,16/07/2021,$135.00,P,$13.15,BNP,Per Unit,0.05,0,0,$1.7000,323856
0,06/02/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,525,.VIX,VIX,20/10/2021,$23.00,P,$4.33,UBS-CUST,Per Unit,0.05,0.02,0,$36.7500,323847
0,06/02/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,525,.VIX,VIX,20/10/2021,$23.00,C,$4.52,UBS-CUST,Per Unit,0.05,0.02,0,$36.7500,323847
0,06/02/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,500",.VIX,VIX,20/10/2021,$35.00,C,$2.29,UBS-CUST,Per Unit,0.05,0.02,0,$105.0000,323847
0,06/02/2021,DSmanik,CBOE-OPT,SLO,1,Z,Z,20/01/2023,$105.00,P,$25.75,GOLDMAN,Per Unit,0.05,0,0,$0.0500,323847
0,06/02/2021,DSmanik,ISE-OPT,SLO,2,Z,Z,20/01/2023,$105.00,P,$25.75,GOLDMAN,Per Unit,0.05,0,0,$0.1000,323847
0,06/02/2021,DSmanik,ISE-OPT,SLO,2,Z,Z,20/01/2023,$105.00,P,$25.70,GOLDMAN,Per Unit,0.05,0,0,$0.1000,323847
0,06/02/2021,DSmanik,CBOE-OPT,SLO,1,Z,Z,20/01/2023,$105.00,P,$25.70,GOLDMAN,Per Unit,0.05,0,0,$0.0500,323847
0,06/02/2021,DSmanik,ISE-OPT,SLO,2,Z,Z,20/01/2023,$105.00,P,$25.75,GOLDMAN,Per Unit,0.05,0,0,$0.1000,323847
0,06/02/2021,DSmanik,CBOE-OPT,SLO,1,Z,Z,20/01/2023,$105.00,P,$25.75,GOLDMAN,Per Unit,0.05,0,0,$0.0500,323847
0,06/02/2021,DSmanik,CBOE-OPT,SLO,1,Z,Z,20/01/2023,$105.00,P,$25.75,GOLDMAN,Per Unit,0.05,0,0,$0.0500,323847
0,06/02/2021,DSmanik,ISE-OPT,SLO,2,Z,Z,20/01/2023,$105.00,P,$25.75,GOLDMAN,Per Unit,0.05,0,0,$0.1000,323847
0,06/02/2021,DSmanik,ISE-OPT,SLO,2,Z,Z,20/01/2023,$105.00,P,$25.75,GOLDMAN,Per Unit,0.05,0,0,$0.1000,323847
