WEX Connect Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,Clearing Fee,Total Charge,drv_trade_client_account_execution_id
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,2,CLDR,CLDR,20/08/2021,$16.00,C,$0.13,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(0.5000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,18,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.43,0,$(6.8400),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,17,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.42,0,$(6.2900),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,16,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(4.0000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,14,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(2.8000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,13,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(2.6000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,7,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(1.4000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,47,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(9.4000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,15,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(3.0000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,15,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(3.0000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,1,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,15,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(3.0000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,15,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(3.0000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,15,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(3.0000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,11,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(2.2000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,170,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$91.8000,313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,4,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.8000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,11,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.43,0,$(4.1800),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,12,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(2.4000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,13,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.42,0,$(4.8100),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,13,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(3.2500),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,11,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(2.2000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,6,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(1.2000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,15,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(3.0000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,2,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.4000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.43,0,$(1.1400),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),313612
0,07/02/2021,DSmanik,WEX-BESTX-OPT,SLO,10,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(2.0000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(0.7500),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.42,0,$(1.1100),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,211,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$113.9400,313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.1500,313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,7,CLDR,CLDR,20/08/2021,$16.00,C,$0.14,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$3.7800,313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.14,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.1500,313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.14,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.6200,313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,7,CLDR,CLDR,20/08/2021,$16.00,C,$0.14,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$3.7800,313612
0,07/02/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.14,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.6200,313612
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,3,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.1200,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,2,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0800,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,5,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.2000,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,4,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.1600,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,2,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1050,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,2,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1050,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,3,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1575,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,2,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1050,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,4,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.2100,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,4,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.2100,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,4,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.2100,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,2,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1050,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,2,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1050,309499
0,07/06/2021,DSmanik,WEX-SWEEP,SLO,1,HOME,HOME,20/08/2021,$37.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,309499
