ise_mt,Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
,02/02/2021,AMEX,S,P,1000,DD,DD,2,2021,105,32.39,C,C,216628992,,E35J,,226,792,oscarg,oscarg,,,,,,Y,,,C,0.1,100,0,0,100,136772895
,02/02/2021,AMEX,S,P,2250,TLT,TLT,3,2021,145,1.07,C,P,216625242,,E35J,,444,792,oscarg,oscarg,,,,,etf,Y,,,N,0.1,225,562.5,0,787.5,136470545
,02/02/2021,ISE,S,C,19,BABA,BABA,2,2021,260,3.39,C,C,CO112J4QPJA,BLPOPT_20210202-00071-00015LBABAFEB260C,EBS,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,12,0.1,1.9,-4.75,0.86,-2,136400051
,02/02/2021,ISE,B,C,19,BABA,BABA,2,2021,275,0.61,C,C,CO112J4QPJA,BLPOPT_20210202-00071-00015BBABAFEB275C,EBS,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,12,0.1,1.9,-4.75,0.86,-2,136399620
,02/02/2021,MCRY,S,C,10,CHKP,CHKP,2,2021,135,4.5,O,C,O4C05ULP7E,BLPOPT_20210202-00068-00001,BAB5,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,CLOCK,,2,0.1,1,0,0.45,1.45,136368133
,02/02/2021,PHLX,S,C,9,BABA,BABA,2,2021,260,3.4,C,C,CO112J4QPJA,BLPOPT_20210202-00071-00015LBABAFEB260C,792,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,N,0.1,0.9,0,0.41,1.31,136400162
,02/02/2021,PHLX,B,C,9,BABA,BABA,2,2021,275,0.6,C,C,CO112J4QPJA,BLPOPT_20210202-00071-00015BBABAFEB275C,792,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,,Y,,,N,0.1,0.9,0,0.41,1.31,136399845
,02/03/2021,AMEX,B,P,75,FTCH,FTCH,7,2021,65,12.33,C,C,216809413,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,N,0.1,7.5,0,0,7.5,136725384
,02/03/2021,NASDAQ,B,P,30,SPY,SPY,4,2021,350,6.26,O,C,CO112LN894C,BLPOPT_20210203-00205-00001,BAMB,,792,792,2462,oscarg,OGRUBB960C-XPFS,13566548,BLPOPT,OGRUDMA,etf_spy,Y,SR,,A,0.1,3,-15,1.35,-10.65,136745692
,02/04/2021,BATS,B,C,5,SKX,SKX,2,2021,43,0.55,O,C,CO412O9IIC5,BLPOPT_20210204-00052-00013,BMLS,,792,792,2462,oscarg,OGRUBB960C-XPFS,23160696,BLPOPT,OGRUDMA,,,SR,,R,0.1,0.5,4.25,0.23,4.98,136945634
