Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID,modifiedTradeDate,modifiedExch,modifiedBS,modifiedPC,modifiedClass,modifiedSym,modifiedStrike,modifiedPrice,modifiedQty,modifiedOC,modifiedCFM,modifiedExBrok,modifiedTotalCharges,drv_trade_client_account_execution_id
05/03/21,AMEX,B,P,1000,ABNB,ABNB,1,2023,105.0000,9.640000,C,P,223205593,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,C,.100000000000000,100.0000,.0000,.0000,100.0000,152380343,5/3/2021,amex,b,p,abnb,abnb,105,9.64,1000,c,p,e35j,100,298403
05/03/21,AMEX,B,P,1000,ABNB,ABNB,1,2023,105.0000,9.640000,C,P,223205593,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,C,.100000000000000,100.0000,.0000,.0000,100.0000,152380372,5/3/2021,amex,b,p,abnb,abnb,105,9.64,1000,c,p,e35j,100,298403
05/03/21,AMEX,S,P,200,SU,SU,6,2021,18.0000,.250000,C,P,223157463,,E35J,,352,792,oscarg,oscarg,,,,,,,,,,N,.100000000000000,20.0000,50.0000,.0000,70.0000,152411292,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
05/03/21,CBOE,B,P,100,SPX,SPX,5,2021,4150.0000,38.700000,C,P,621123000JG,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,10.0000,59.0000,.0000,69.0000,152362423,5/3/2021,cboe,b,p,spx,spx,4150,38.7,100,c,p,bmls,69,298403
05/03/21,CBOE,S,P,50,SPX,SPX,6,2021,3950.0000,37.300000,C,P,~X6QJWLCT87Q9,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,R,.100000000000000,5.0000,29.5000,.0000,34.5000,152363047,5/3/2021,cboe,s,p,spx,spx,3950,37.3,50,c,p,bmls,34.5,298403
05/03/21,CBOE,S,P,50,SPX,SPX,6,2021,3950.0000,37.300000,C,P,~X6QJWLCT87Q9,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,R,.100000000000000,5.0000,29.5000,.0000,34.5000,152363349,5/3/2021,cboe,s,p,spx,spx,3950,37.3,50,c,p,bmls,34.5,298403
05/03/21,CBOE,S,P,200,SPX,SPX,6,2021,3950.0000,37.300000,C,P,621123000JG,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,20.0000,118.0000,.0000,138.0000,152363076,5/3/2021,cboe,s,p,spx,spx,3950,37.3,200,c,p,bmls,138,298403
05/03/21,CBOE,S,C,1,SPX,SPX,6,2021,4185.0000,92.000000,C,P,~X6QJWLCT87Q8,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,R,.100000000000000,.1000,.5900,.0000,.6900,152363288,5/3/2021,cboe,s,c,spx,spx,4185,92,1,c,p,bmls,0.69,298403
05/03/21,CBOE,S,C,1,SPX,SPX,6,2021,4185.0000,92.000000,C,P,~X6QJWLCT87Q8,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,R,.100000000000000,.1000,.5900,.0000,.6900,152363315,5/3/2021,cboe,s,c,spx,spx,4185,92,1,c,p,bmls,0.69,298403
05/03/21,CBOE,S,C,3,SPX,SPX,6,2021,4185.0000,92.000000,C,P,621123000JG,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,.3000,1.7700,.0000,2.0700,152363070,5/3/2021,cboe,s,c,spx,spx,4185,92,3,c,p,bmls,2.07,298403
05/03/21,CBOE,B,P,3,SPX,SPX,6,2021,4185.0000,90.000000,C,P,621123000JG,,BMLS,,444,792,oscarg,oscarg,,,,,index_spx,,,,,A,.100000000000000,.3000,1.7700,.0000,2.0700,152362049,5/3/2021,cboe,b,p,spx,spx,4185,90,3,c,p,bmls,2.07,298403
05/03/21,CBOE,B,C,880,VIX,VIX,9,2021,24.0000,4.550000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,88.0000,440.0000,.0000,528.0000,152427356,5/3/2021,cboe,b,c,vix,vix,24,4.55,880,c,p,bmls,528,298403
05/03/21,CBOE,B,C,176,VIX,VIX,9,2021,24.0000,4.550000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,17.6000,88.0000,.0000,105.6000,152427285,5/3/2021,cboe,b,c,vix,vix,24,4.55,176,c,p,bmls,105.6,298403
05/03/21,CBOE,B,C,88,VIX,VIX,9,2021,24.0000,4.550000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,8.8000,44.0000,.0000,52.8000,152427270,5/3/2021,cboe,b,c,vix,vix,24,4.55,88,c,p,bmls,52.8,298403
05/03/21,CBOE,B,C,88,VIX,VIX,9,2021,24.0000,4.550000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,8.8000,44.0000,.0000,52.8000,152427291,5/3/2021,cboe,b,c,vix,vix,24,4.55,88,c,p,bmls,52.8,298403
05/03/21,CBOE,B,C,88,VIX,VIX,9,2021,24.0000,4.550000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,8.8000,44.0000,.0000,52.8000,152427340,5/3/2021,cboe,b,c,vix,vix,24,4.55,88,c,p,bmls,52.8,298403
05/03/21,CBOE,S,P,880,VIX,VIX,9,2021,24.0000,4.500000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,88.0000,440.0000,.0000,528.0000,152427397,5/3/2021,cboe,s,p,vix,vix,24,4.5,880,c,p,bmls,528,298403
05/03/21,CBOE,S,P,176,VIX,VIX,9,2021,24.0000,4.500000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,17.6000,88.0000,.0000,105.6000,152427380,5/3/2021,cboe,s,p,vix,vix,24,4.5,176,c,p,bmls,105.6,298403
05/03/21,CBOE,S,P,88,VIX,VIX,9,2021,24.0000,4.500000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,8.8000,44.0000,.0000,52.8000,152427393,5/3/2021,cboe,s,p,vix,vix,24,4.5,88,c,p,bmls,52.8,298403
05/03/21,CBOE,S,P,88,VIX,VIX,9,2021,24.0000,4.500000,C,P,621123000ZK,,BMLS,,444,792,oscarg,oscarg,,,,,index_vix,,,,,A,.100000000000000,8.8000,44.0000,.0000,52.8000,152427399,5/3/2021,cboe,s,p,vix,vix,24,4.5,88,c,p,bmls,52.8,298403
