drv_trade_floor_broker_id,drv_trade_client_account_execution_id,charge
23,undefined,100
23,undefined,100
23,undefined,50
23,undefined,50
23,undefined,35
23,undefined,100
23,undefined,1.45
23,undefined,0.435
23,undefined,0.435
23,undefined,0.29
23,undefined,0.145
23,undefined,0.435
23,undefined,0.29
23,undefined,0.145
23,undefined,0.145
23,undefined,0.145
23,undefined,5
23,undefined,70
23,undefined,105
23,undefined,105
23,undefined,70
23,undefined,70
23,undefined,280
23,undefined,70
23,undefined,140
23,undefined,100
23,undefined,63
23,undefined,24.5
23,undefined,96.25
23,undefined,20
23,undefined,30
23,undefined,180
23,undefined,38.25
23,undefined,500
23,undefined,100
23,undefined,100
23,undefined,100
23,undefined,250
23,undefined,10
23,undefined,750
23,undefined,30
23,undefined,250
23,undefined,10
23,undefined,10
23,undefined,7.5
23,undefined,20
23,undefined,40
23,undefined,105
23,undefined,6.5
23,undefined,22.5
23,undefined,4.5
23,undefined,50
23,undefined,1.595
23,undefined,1.305
23,undefined,0.725
23,undefined,22.5
23,undefined,4.5
23,undefined,122.5
23,undefined,60
23,undefined,0.58
23,undefined,0.725
23,undefined,15
23,undefined,225
23,undefined,30
23,undefined,80
23,undefined,120
23,undefined,62.5
23,undefined,131.25
23,undefined,65
23,undefined,3
23,undefined,40
23,undefined,7
23,undefined,962.5
23,undefined,0.145
23,undefined,0.145
23,undefined,0.145
23,undefined,0.435
23,undefined,0.29
23,undefined,0.145
23,undefined,223.3
23,undefined,148.75
23,undefined,75
23,undefined,75
23,undefined,45.5
23,undefined,45.5
23,undefined,87.5
23,undefined,105
23,undefined,200
23,undefined,245
23,undefined,105
23,undefined,105
23,undefined,52.5
23,undefined,35
23,undefined,105
23,undefined,50
23,undefined,52.5
23,undefined,52.5
23,undefined,210
23,undefined,120
23,undefined,35
23,undefined,56.25
23,undefined,5
23,undefined,17.5
23,undefined,2.4
23,undefined,1.8
23,undefined,1.8
23,undefined,2.4
23,undefined,1.8
23,undefined,1.8
23,undefined,240
23,undefined,105
23,undefined,8.75
23,undefined,35
23,undefined,500
23,undefined,105
23,undefined,40
23,undefined,70
23,undefined,25
23,undefined,25
23,undefined,25
23,undefined,55
23,undefined,20.25
23,undefined,13
23,undefined,50
23,undefined,30
23,undefined,50
23,undefined,30
23,undefined,22.5
23,undefined,192.5
23,undefined,19.25
23,undefined,19.25
23,undefined,70
23,undefined,112.5
23,undefined,56.25
23,undefined,140
23,undefined,52.5
23,undefined,52.5
23,undefined,70
23,undefined,250
23,undefined,250
23,undefined,13.1
23,undefined,1680
23,undefined,16.2
23,undefined,8.8
23,undefined,25
23,undefined,35
23,undefined,35
23,undefined,200
23,undefined,20
23,undefined,10
23,undefined,20
23,undefined,10
23,undefined,450
23,undefined,450
23,undefined,250
23,undefined,200
23,undefined,50
23,undefined,250
23,undefined,200
23,undefined,50
23,undefined,35
23,undefined,35
23,undefined,157.5
23,undefined,61.25
23,undefined,35
23,undefined,61.25
23,undefined,35
23,undefined,175
23,undefined,87.5
23,undefined,61.25
23,undefined,140
23,undefined,14
23,undefined,140
23,undefined,100
23,undefined,40
23,undefined,10
23,undefined,10
23,undefined,50
23,undefined,50
23,undefined,100
23,undefined,15
23,undefined,50
23,undefined,84
23,undefined,20
23,undefined,40
23,undefined,105
23,undefined,25
23,undefined,4.975
23,undefined,2.985
23,undefined,2.985
23,undefined,1.99
23,undefined,1.99
23,undefined,4.8
23,undefined,2.4
23,undefined,211.2
23,undefined,10.8
23,undefined,44.4
23,undefined,2.4
23,undefined,2.4
23,undefined,8.4
23,undefined,-0.75
23,undefined,-0.75
23,undefined,-0.75
23,undefined,-0.75
23,undefined,3
23,undefined,-12.75
23,undefined,-0.75
23,undefined,-0.75
23,undefined,-0.6
23,undefined,-0.15
23,undefined,25.2
23,undefined,0.6
23,undefined,85
23,undefined,37.5
23,undefined,-2.485
23,undefined,0.435
23,undefined,0.145
23,undefined,0.29
23,undefined,0.145
23,undefined,-2.84
23,undefined,-2.84
23,undefined,0.145
23,undefined,-140
23,undefined,-260
23,undefined,60
23,undefined,-200
23,undefined,-100
23,undefined,-260
23,undefined,60
23,undefined,-200
23,undefined,-100
23,undefined,25
23,undefined,115
23,undefined,30
23,undefined,312.5
23,undefined,250
23,undefined,250
23,undefined,250
23,undefined,-420
23,undefined,375
23,undefined,1875
23,undefined,125
23,undefined,-165
23,undefined,-120
23,undefined,-110
23,undefined,-80
23,undefined,-200
23,undefined,500
23,undefined,-100
23,undefined,250
23,undefined,-100
23,undefined,250
23,undefined,350
23,undefined,90
23,undefined,120
23,undefined,4.8
23,undefined,5
23,undefined,-6.39
23,undefined,-3.55
23,undefined,-2.485
23,undefined,404.5
23,undefined,500
23,undefined,125
23,undefined,500
23,undefined,562.5
23,undefined,150
23,undefined,501
23,undefined,250.5
23,undefined,610.8
23,undefined,300
23,undefined,1000
23,undefined,-1.42
23,undefined,-3.55
23,undefined,-2.13
23,undefined,70
23,undefined,55
23,undefined,250
23,undefined,875
23,undefined,500
23,undefined,100
23,undefined,-75
23,undefined,-25
23,undefined,325
23,undefined,187.5
23,undefined,212.5
23,undefined,350
23,undefined,62.5
23,undefined,250
23,undefined,175
23,undefined,400
23,undefined,350
23,undefined,250
23,undefined,22.5
23,undefined,22.5
23,undefined,22.5
23,undefined,22.5
23,undefined,-240
23,undefined,-1120
23,undefined,200
23,undefined,400
23,undefined,-125
23,undefined,-100
23,undefined,-25
23,undefined,-20
23,undefined,50
23,undefined,500
23,undefined,-260
23,undefined,-140
23,undefined,500
23,undefined,-260
23,undefined,-140
23,undefined,-100
23,undefined,-200
23,undefined,350
23,undefined,-200
23,undefined,400
23,undefined,0.995
23,undefined,1.99
23,undefined,5.175
23,undefined,1.725
23,undefined,0.575
23,undefined,9.2
23,undefined,5.175
23,undefined,0.575
23,undefined,2.3
23,undefined,0.575
23,undefined,573.4
23,undefined,213.85
23,undefined,126.43
23,undefined,97.76
23,undefined,49.82
23,undefined,39.48
23,undefined,29.61
23,undefined,14.57
23,undefined,0.94
23,undefined,4.7
23,undefined,1.88
23,undefined,124.55
23,undefined,23.5
23,undefined,1.88
23,undefined,17.25
23,undefined,17.25
23,undefined,69
23,undefined,34.5
23,undefined,34.5
23,undefined,138
23,undefined,0.69
23,undefined,0.69
23,undefined,2.07
23,undefined,0.69
23,undefined,0.69
23,undefined,2.07
23,undefined,528
23,undefined,105.6
23,undefined,52.8
23,undefined,52.8
23,undefined,52.8
23,undefined,528
23,undefined,105.6
23,undefined,52.8
23,undefined,52.8
23,undefined,52.8
23,undefined,1200
23,undefined,240
23,undefined,120
23,undefined,120
23,undefined,120
23,undefined,2.03
23,undefined,0.145
23,undefined,0.145
23,undefined,0.145
23,undefined,1.45
23,undefined,1.015
23,undefined,0.58
23,undefined,0.435
23,undefined,0.29
23,undefined,0.145
23,undefined,0.145
23,undefined,0.29
23,undefined,1.16
23,undefined,1.015
