Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID,id,modifiedTradeDate,modifiedExch,modifiedBS,modifiedPC,modifiedClass,modifiedSym,modifiedStrike,modifiedPrice,modifiedQty,modifiedOC,modifiedCFM,modifiedExBrok,modifiedTotalCharges
11/02/21,AMEX,S,P,150,ATVI,ATVI,11,2021,82.5000,6.110000,C,P,234778422,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,.050000000000000,7.5000,37.5000,.0000,45.0000,184145816,1,11/2/2021,amex,s,p,atvi,atvi,82.5,6.11,150,c,p,e35j,45
11/03/21,AMEX,B,P,1500,KRE,KRE,1,2024,59.0000,6.300000,C,C,234850373,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,C,.050000000000000,75.0000,.0000,.0000,75.0000,184294551,2,11/3/2021,amex,b,p,kre,kre,59,6.3,1500,c,c,e35j,75
11/03/21,AMEX,S,P,30,MRNA,MRNA,12,2021,300.0000,10.700000,C,P,234856313,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,.050000000000000,1.5000,7.5000,.0000,9.0000,184389711,3,11/3/2021,amex,s,p,mrna,mrna,300,10.7,30,c,p,e35j,9
11/04/21,AMEX,B,P,60,APPN,APPN,5,2022,90.0000,12.500000,C,F,234912204,,E35J,,010,792,oscarg,oscarg,,,,,,,,,,N,.050000000000000,3.0000,15.0000,.0000,18.0000,184580892,4,11/4/2021,amex,b,p,appn,appn,90,12.5,60,c,f,e35j,18
11/04/21,AMEX,S,P,69,NVAX,NVAX,1,2023,180.0000,66.500000,C,F,234952074,,E35J,,010,792,oscarg,oscarg,,,,,,Y,,,,N,.050000000000000,3.4500,17.2500,.0000,20.7000,184647764,5,11/4/2021,amex,s,p,nvax,nvax,180,66.5,69,c,f,e35j,20.7
11/05/21,AMEX,B,C,300,HD,HD,12,2021,390.0000,3.000000,C,P,235043405,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,.050000000000000,15.0000,75.0000,.0000,90.0000,184903460,6,11/5/2021,amex,b,c,hd,hd,390,3,300,c,p,e35j,90
11/05/21,AMEX,S,P,300,HD,HD,12,2021,390.0000,26.230000,C,P,235043405,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,.050000000000000,15.0000,75.0000,.0000,90.0000,184903540,7,11/5/2021,amex,s,p,hd,hd,390,26.23,300,c,p,e35j,90
11/05/21,AMEX,B,P,200,TTD,TTD,1,2023,66.0000,13.150000,C,F,235018635,,E35J,,010,792,oscarg,oscarg,,,,,,,,,,N,.050000000000000,10.0000,50.0000,.0000,60.0000,184902367,9,11/5/2021,amex,b,p,ttd,ttd,66,13.15,200,c,f,e35j,60
11/08/21,AMEX,B,P,550,MRNA,MRNA,1,2023,200.0000,30.050000,C,P,235186498,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,.050000000000000,27.5000,137.5000,.0000,165.0000,185361075,12,11/8/2021,amex,b,p,mrna,mrna,200,30.05,550,c,p,e35j,165
11/08/21,AMEX,B,P,50,MRNA,MRNA,1,2023,200.0000,30.050000,C,C,235186498,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,.050000000000000,2.5000,.0000,.0000,2.5000,185361036,13,11/8/2021,amex,b,p,mrna,mrna,200,30.05,50,c,c,e35j,2.5
