Clearing Fee,Commission Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,0,10/04/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,380,.VIX,VIX,10/20/2021,$23.00 ,C,$2.36 ,UBS-CUST,Per Unit,0.02,0,$7.60 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,600,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,$312.00 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,106,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,$55.12 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,30,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$16.20 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,45,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$24.30 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$2.16 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$2.16 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$1.62 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$2.16 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$2.16 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$1.62 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,$1.62 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,19,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,$9.88 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,16,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,$8.32 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,13,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,$6.76 
0,0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,90,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,-0.25,($18.00)
