GIVEUP,USER,EXCHANGE,SYMBOL,EXPIRATION,STRIKE,C/P,B/S,FILLED QTY,PREMIUM,DATE,ORDER TYPE,CMTA FIRM,RANGE,ACCOUNT,COMPANY,DEST COMPANY,ELECTRONIC,LEG NUMBER,USER QTY,FIX QTY,HANDLING,CONNECTION,SECURITY TYPE,CROSSING,PENNY,SYMBOL TYPE,PTMID,LINK EXCH,ParentExDestination,ORDERID,REPORTID,CL_ORD_ID,LiquidityFlag,Open_Close,cross_type,custom_billing_tag,BPCR,BPCR$,LF,LF$,MDPT,MDPT$,CAT,CAT$,TOTAL COMMISSIONS,TOTAL EXCHANGE FEES,modifiedUser,modifiedExchange,modifiedSymbol,modifiedExpiration,modifiedDate,modifiedBS,modifiedStrike,modifiedCP,modifiedPremium,modifiedFilledQty,modifiedTotalExchangeFees,modifiedBPCR$,totalCharge
161,oscargruss|xyuobo,AMEX,SNOW,19/02/2021, $225.00 ,P,SELL,200, $6.00 ,04/01/2021,Done Away Managed,275,CUST,CLIENT,MER,BLOGS,MANUAL,02-Feb,0,0,129,,Option,0,0,Equity,0,A,ISTG,388047157,1336287450,21447577,,O,,,0.025,5, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss|xyuobo,amex,snow,2/19/2021,1/4/2021,s,225,p,6,200,0,5,5
411,oscargruss2|WH59,ISE,XRT,19/03/2021, $57.00 ,P,BUY,940, $1.48 ,04/01/2021,Done Away Managed,505,FIRM,CIT,CIT,BLOGS,MANUAL,02-Feb,0,0,129,,Option,0,1,ETF,0,I,ISTG,388048995,1336307117,21449816,,O,,,0.025,23.5, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss2|wh59,ise,xrt,3/19/2021,1/4/2021,b,57,p,1.48,940,0,23.5,23.5
161,oscargruss|xyuobo,AMEX,DOW,15/01/2021, $60.00 ,C,SELL,100, $0.11 ,05/01/2021,Done Away Managed,275,CUST,CLIENT,MER,BLOGS,MANUAL,03-Mar,0,0,129,,Option,0,1,Equity,0,A,ISTG,388053557,1336361935,21454982,,O,,,0.025,2.5, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss|xyuobo,amex,dow,1/15/2021,1/5/2021,s,60,c,0.11,100,0,2.5,2.5
161,oscargruss|xyuobo,AMEX,DOW,21/01/2022, $60.00 ,C,BUY,100, $5.01 ,05/01/2021,Done Away Managed,275,CUST,CLIENT,MER,BLOGS,MANUAL,02-Mar,0,0,129,,Option,0,1,Equity,0,A,ISTG,388053557,1336361937,21454982,,O,,,0.025,2.5, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss|xyuobo,amex,dow,1/21/2022,1/5/2021,b,60,c,5.01,100,0,2.5,2.5
352,oscargruss|rparks,AMEX,MSFT,18/06/2021, $150.00 ,P,BUY,100, $1.83 ,05/01/2021,Done Away Managed,352,FIRM,JPMINDEX,JPMEMM,BLOGS,MANUAL,02-Feb,0,0,129,,Option,0,1,Equity,0,A,ISTG,388055113,1336379741,21457020,,O,,,0.025,2.5, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss|rparks,amex,msft,6/18/2021,1/5/2021,b,150,p,1.83,100,0,2.5,2.5
642,oscargruss2|JerryKao ,AMEX,MSFT,18/06/2021, $150.00 ,P,BUY,350, $1.83 ,05/01/2021,Done Away Managed,742,FIRM,UBS,BLUBS2,BLOGS,MANUAL,02-Feb,0,0,129,,Option,0,1,Equity,0,A,ISTG,388055099,1336379879,21457006,,O,,,0.025,8.75, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss2|jerrykao ,amex,msft,6/18/2021,1/5/2021,b,150,p,1.83,350,0,8.75,8.75
411,oscargruss|WH59,CBOE,SPX,15/01/2021," $2,900.00 ",P,BUY,550, $1.10 ,05/01/2021,Done Away Managed,505,FIRM,CIT,CIT,BLOGS,MANUAL,01-Jan,0,0,129,,Option,0,0,Index,0,C,ISTG,388051175,1336331976,21452361,,O,,,0.025,13.75, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss|wh59,cboe,spx,1/15/2021,1/5/2021,b,2900,p,1.1,550,0,13.75,13.75
411,oscargruss|WH59,CBOE,SPX,18/06/2021," $2,800.00 ",P,BUY,200, $45.80 ,05/01/2021,Done Away Managed,505,FIRM,CIT,CIT,BLOGS,MANUAL,01-Mar,0,0,129,,Option,0,0,Index,0,C,ISTG,388052431,1336347350,21453538,,O,,,0.025,5, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss|wh59,cboe,spx,6/18/2021,1/5/2021,b,2800,p,45.8,200,0,5,5
411,oscargruss|WH59,BOX,XLU,15/01/2021, $60.00 ,P,BUY,"1,000", $0.60 ,05/01/2021,Done Away Managed,505,FIRM,CIT,CIT,BLOGS,MANUAL,02-Feb,0,0,129,,Option,0,1,ETF,0,B,ISTG,388054856,1336376936,21456636,,O,,,0.025,25, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss|wh59,box,xlu,1/15/2021,1/5/2021,b,60,p,0.6,1000,0,25,25
411,oscargruss|WH59,BOX,XRT,19/03/2021, $56.00 ,P,BUY,"2,000", $1.18 ,05/01/2021,Done Away Managed,505,FIRM,CIT,CIT,BLOGS,MANUAL,02-Feb,0,0,129,,Option,0,1,ETF,0,B,ISTG,388051281,1336332599,21452269,,O,,,0.025,50, -   , -   , -   , -   , -   , -   , -   , -   ,oscargruss|wh59,box,xrt,3/19/2021,1/5/2021,b,56,p,1.18,2000,0,50,50
