Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,client_order_ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,compID,cust_ID,Product Code,Penny,parent_type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID,modifiedTradeDate,modifiedExch,modifiedBS,modifiedPC,modifiedClass,modifiedSym,modifiedStrike,modifiedPrice,modifiedQty,modifiedOC,modifiedCFM,modifiedExBrok,modifiedTotalCharges
08/02/21,AMEX,B,P,250,SE,SE,10,2021,270.0000,15.950000,O,N,229079352,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,25.0000,62.5000,.0000,87.5000,168054692,8/2/2021,amex,b,p,se,se,270,15.95,250,o,n,e35j,87.5
08/03/21,AMEX,B,P,300,FCX,FCX,3,2022,30.0000,2.350000,O,N,229134613,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,30.0000,75.0000,.0000,105.0000,168103608,8/3/2021,amex,b,p,fcx,fcx,30,2.35,300,o,n,e35j,105
08/03/21,AMEX,B,P,525,PINS,PINS,1,2022,55.0000,6.250000,C,P,229150263,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,52.5000,131.2500,.0000,183.7500,168055907,8/3/2021,amex,b,p,pins,pins,55,6.25,525,c,p,e35j,183.75
08/03/21,AMEX,B,P,550,UBER,UBER,1,2023,37.0000,5.450000,C,C,229125463,,E35J,,273,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,55.0000,.0000,.0000,55.0000,168073111,8/3/2021,amex,b,p,uber,uber,37,5.45,550,c,c,e35j,55
08/03/21,AMEX,S,C,1000,XLV,XLV,1,2023,145.0000,5.300000,C,C,229169593,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,C,.100000000000000,100.0000,.0000,.0000,100.0000,168126086,8/3/2021,amex,s,c,xlv,xlv,145,5.3,1000,c,c,e35j,100
08/03/21,AMEX,S,C,250,XLV,XLV,1,2023,145.0000,5.300000,C,C,229169593,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,C,.100000000000000,25.0000,.0000,.0000,25.0000,168165780,8/3/2021,amex,s,c,xlv,xlv,145,5.3,250,c,c,e35j,25
08/03/21,AMEX,S,C,200,XLV,XLV,1,2023,145.0000,5.300000,C,C,229169593,,E35J,,551,792,oscarg,oscarg,,,,,etf,Y,,,,C,.100000000000000,20.0000,.0000,.0000,20.0000,168124812,8/3/2021,amex,s,c,xlv,xlv,145,5.3,200,c,c,e35j,20
08/03/21,AMEX,B,C,1000,XLV,XLV,1,2023,145.0000,5.300000,C,P,229169603,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,C,.100000000000000,100.0000,.0000,.0000,100.0000,168125623,8/3/2021,amex,b,c,xlv,xlv,145,5.3,1000,c,p,e35j,100
08/04/21,AMEX,B,P,250,GM,GM,11,2021,52.5000,3.600000,C,C,229218724,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,25.0000,.0000,.0000,25.0000,168360685,8/4/2021,amex,b,p,gm,gm,52.5,3.6,250,c,c,e35j,25
08/04/21,AMEX,S,P,80,MRNA,MRNA,10,2021,150.0000,.850000,C,P,229211004,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,8.0000,20.0000,.0000,28.0000,168292798,8/4/2021,amex,s,p,mrna,mrna,150,0.85,80,c,p,e35j,28
08/04/21,AMEX,B,C,400,SPY,SPY,8,2021,443.0000,2.520000,C,C,229205294,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,,N,.100000000000000,40.0000,.0000,.0000,40.0000,168582308,8/4/2021,amex,b,c,spy,spy,443,2.52,400,c,c,e35j,40
08/04/21,AMEX,B,C,100,SPY,SPY,8,2021,443.0000,2.520000,C,C,229205294,,E35J,,273,792,oscarg,oscarg,,,,,etf_spy,Y,,,,N,.100000000000000,10.0000,.0000,.0000,10.0000,168582270,8/4/2021,amex,b,c,spy,spy,443,2.52,100,c,c,e35j,10
08/04/21,AMEX,B,P,1700,UBER,UBER,12,2021,37.5000,2.480000,C,P,229208134,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,170.0000,425.0000,.0000,595.0000,168360936,8/4/2021,amex,b,p,uber,uber,37.5,2.48,1700,c,p,e35j,595
08/04/21,AMEX,B,P,75,V,V,1,2023,175.0000,7.500000,C,P,229268954,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,7.5000,18.7500,.0000,26.2500,168361165,8/4/2021,amex,b,p,v,v,175,7.5,75,c,p,e35j,26.25
08/05/21,AMEX,B,P,200,ATVI,ATVI,2,2022,75.0000,4.950000,C,P,229295845,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,20.0000,50.0000,.0000,70.0000,168517635,8/5/2021,amex,b,p,atvi,atvi,75,4.95,200,c,p,e35j,70
08/05/21,AMEX,B,P,50,CF,CF,1,2023,40.0000,5.420000,C,F,229305745,,E35J,,010,792,oscarg,oscarg,,,,,,,,,,N,.100000000000000,5.0000,12.5000,.0000,17.5000,168591707,8/5/2021,amex,b,p,cf,cf,40,5.42,50,c,f,e35j,17.5
08/05/21,AMEX,B,P,400,DIS,DIS,6,2022,145.0000,5.750000,O,N,229289365,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,40.0000,100.0000,.0000,140.0000,168606541,8/5/2021,amex,b,p,dis,dis,145,5.75,400,o,n,e35j,140
08/05/21,AMEX,B,P,100,K,K,3,2022,60.0000,3.250000,C,F,229285235,,E35J,,010,792,oscarg,oscarg,,,,,,,,,,N,.100000000000000,10.0000,25.0000,.0000,35.0000,168537290,8/5/2021,amex,b,p,k,k,60,3.25,100,c,f,e35j,35
08/05/21,AMEX,B,P,505,KWEB,KWEB,1,2023,50.0000,9.600000,C,C,229354595,,E35J,,352,792,oscarg,oscarg,,,,,etf,Y,,,,N,.100000000000000,50.5000,.0000,.0000,50.5000,168534685,8/5/2021,amex,b,p,kweb,kweb,50,9.6,505,c,c,e35j,50.5
08/05/21,AMEX,B,C,200,SPY,SPY,8,2021,443.0000,2.700000,C,C,229284415,,E35J,,551,792,oscarg,oscarg,,,,,etf_spy,Y,,,,N,.100000000000000,20.0000,.0000,.0000,20.0000,168600002,8/5/2021,amex,b,c,spy,spy,443,2.7,200,c,c,e35j,20
08/05/21,AMEX,S,C,200,SPY,SPY,8,2021,445.0000,1.800000,C,C,229284415,,E35J,,551,792,oscarg,oscarg,,,,,etf_spy,Y,,,,N,.100000000000000,20.0000,.0000,.0000,20.0000,168600405,8/5/2021,amex,s,c,spy,spy,445,1.8,200,c,c,e35j,20
08/05/21,AMEX,S,C,200,SPY,SPY,8,2021,448.0000,.900000,C,C,229284415,,E35J,,551,792,oscarg,oscarg,,,,,etf_spy,Y,,,,N,.100000000000000,20.0000,.0000,.0000,20.0000,168600511,8/5/2021,amex,s,c,spy,spy,448,0.9,200,c,c,e35j,20
08/06/21,AMEX,B,P,150,IWM,IWM,12,2023,190.0000,17.330000,C,P,229403326,,E35J,,444,792,oscarg,oscarg,,,,,etf_iwm,Y,,,,N,.100000000000000,15.0000,37.5000,.0000,52.5000,168979051,8/6/2021,amex,b,p,iwm,iwm,190,17.33,150,c,p,e35j,52.5
08/06/21,AMEX,B,C,225,MA,MA,1,2022,350.0000,41.850000,C,C,229405636,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,22.5000,.0000,.0000,22.5000,168952182,8/6/2021,amex,b,c,ma,ma,350,41.85,225,c,c,e35j,22.5
08/06/21,AMEX,B,C,25,MA,MA,1,2022,350.0000,41.850000,C,C,229405636,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,2.5000,.0000,.0000,2.5000,168932957,8/6/2021,amex,b,c,ma,ma,350,41.85,25,c,c,e35j,2.5
08/09/21,AMEX,B,P,125,FDX,FDX,1,2023,250.0000,28.900000,C,C,229485189,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,.100000000000000,12.5000,.0000,.0000,12.5000,169479769,8/9/2021,amex,b,p,fdx,fdx,250,28.9,125,c,c,e35j,12.5
