USER,EXCHANGE,SYMBOL,EXPIRATION,STRIKE,C/P,B/S,FILLED QTY,PREMIUM,DATE,ORDER TYPE,GIVEUP,CMTA FIRM,RANGE,ACCOUNT,COMPANY,DEST COMPANY,ELECTRONIC,LEG NUMBER,USER QTY,FIX QTY,HANDLING,CONNECTION,SECURITY TYPE,CROSSING,PENNY,SYMBOL TYPE,PTMID,LINK EXCH,ParentExDestination,ORDERID,REPORTID,CL_ORD_ID,LiquidityFlag,Open_Close,cross_type,custom_billing_tag,LADR,LADR$,BPCR,BPCR$,ETF,ETF$,SRCTF,SRCTF$,TPF,TPF$,CMTA,CMTA$,LF,LF$,MDPT,MDPT$,CAT,CAT$,TOTAL COMMISSIONS,TOTAL EXCHANGE FEES
dfilippidis|HC59,BOX,MELI,2021-08-20," $1,540.00 ",P,SELL,34, $98.00 ,2021-07-01,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,0,Equity,0,B,ISTG,389083608,1347942155,22712776,,O,,, -   , -   , 0.0250 , 0.8500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,TWTR,2022-01-21, $70.00 ,C,BUY,400, $7.89 ,2021-07-01,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,Equity,0,A,ISTG,389085455,1347973462,22714771,,O,,, -   , -   , 0.0250 , 10.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,XBI,2021-09-17, $130.00 ,P,SELL,350, $4.69 ,2021-07-01,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,ETF,0,A,ISTG,389084218,1347949460,22713462,,O,,, -   , -   , 0.0250 , 8.7500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|HC59,AMEX,HD,2021-08-20, $325.00 ,P,SELL,130, $11.00 ,2021-07-02,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,Equity,0,A,ISTG,389089004,1348018807,22718941,,O,,, -   , -   , 0.0250 , 3.2500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|XJ59,AMEX,TSLA,2023-06-16, $650.00 ,P,SELL,60, $201.30 ,2021-07-06,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,Equity,0,A,ISTG,389100979,1348177371,22733221,,O,,, -   , -   , 0.0250 , 1.5000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|XJ59,BOX,DIS,2021-07-16, $180.00 ,C,BUY,"1,000", $0.53 ,2021-07-07,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/3,0,0,129,,Option,0,1,Equity,0,B,ISTG,389106250,1348243672,22739759,,O,,, -   , -   , 0.0250 , 25.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,ARKK,2021-08-20, $123.00 ,P,SELL,480, $6.77 ,2021-07-08,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,ETF,0,A,ISTG,389116268,1348359582,22751832,,O,,, -   , -   , 0.0250 , 12.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,ARKK,2021-11-19, $113.00 ,P,SELL,600, $7.53 ,2021-07-08,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,ETF,0,A,ISTG,389116288,1348357759,22751805,,O,,, -   , -   , 0.0250 , 15.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|GH59,BOX,SQ,2022-06-17, $210.00 ,P,SELL,200, $25.50 ,2021-07-08,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,Equity,0,B,ISTG,389113888,1348329345,22748489,,O,,, -   , -   , 0.0250 , 5.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|GH59,AMEX,ADSK,2022-06-17, $250.00 ,P,BUY,180, $16.55 ,2021-07-09,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,Equity,0,A,ISTG,389122443,1348438034,22760139,,O,,, -   , -   , 0.0250 , 4.5000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|WH59,ISE,FB,2021-07-16, $340.00 ,P,BUY,600, $1.94 ,2021-07-09,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/3,0,0,129,,Option,0,1,Equity,0,I,ISTG,389118857,1348387648,22755311,,O,,, -   , -   , 0.0250 , 15.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|WH59,AMEX,BABA,2021-07-16, $215.00 ,C,BUY,800, $0.59 ,2021-07-12,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/3,0,0,129,,Option,0,1,Equity,0,A,ISTG,389127647,1348504970,22765991,,O,,, -   , -   , 0.0250 , 20.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
