Clearing Fee,User,Date,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,DSmanik,08/02/2021,WEX-SWEEP,s,7,IPOF,IPOF,17/09/2021,$10.00,C,0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,0.20
0,DSmanik,08/03/2021,WEX-SWEEP,s,68,IPOF,IPOF,17/09/2021,$10.00,C,0.09,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.52
0,DSmanik,08/03/2021,WEX-SWEEP-SPRD,s,250,LUXA,LUXA,15/10/2021,$10.00,C,0.16,MILTON,Per Unit,0.05,0,0.0025,0.11
0,DSmanik,08/03/2021,WEX-SWEEP,b,500,CANO,CANO,17/09/2021,$7.50,P,0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.35
0,DSmanik,08/03/2021,WEX-SWEEP,b,5,CYXT,CYXT,17/09/2021,$7.50,P,0.35,DIFESA-OMNI,Per Unit,0.05,0,-0.86,4.05
0,DSmanik,08/03/2021,WEX-SWEEP,s,200,LUXA,LUXA,15/10/2021,$10.00,C,0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,0.49
0,DSmanik,08/04/2021,WEX-SWEEP-SPRD,s,290,LUXA,LUXA,15/10/2021,$10.00,C,0.13,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,3.13
0,DSmanik,08/05/2021,CBOE-OPT,s,52,KWEB,KWEB,20/01/2023,$50.00,P,9.65,CITI,Per Unit,0.05,0,0,0.60
0,DSmanik,08/05/2021,WEX-SWEEP,b,473,MYPS,MYPS,20/08/2021,$5.00,P,0.2,DIFESA-OMNI,Per Unit,0.05,0,0.85,0.83
0,DSmanik,08/05/2021,WEX-SWEEP,s,261,AGCB,AGCB,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.01,0.08
0,DSmanik,08/06/2021,WEX-SWEEP-SPRD,s,110,AGCB,AGCB,15/10/2021,$10.00,C,0.07,VIVALDI-OMNI,Per Unit,0.05,0,0.0025,0.25
0,DSmanik,08/06/2021,ISE-OPT,b,250,GDX,GDX,21/01/2022,$27.00,P,0.62,CITI,Per Unit,0.05,0,0,0.52
0,DSmanik,08/06/2021,ISE-OPT,s,15,FSLY,FSLY,20/01/2023,$60.00,C,8.01,BNP,Per Unit,0.05,0,0,0.10
0,DSmanik,08/09/2021,WEX-SWEEP,b,61,IPOF,IPOF,20/08/2021,$10.00,C,0.02,VIVALDI-OMNI,Per Unit,0.05,0,0.5,0.55
0,DSmanik,08/09/2021,WEX-SWEEP,s,61,IPOF,IPOF,19/11/2021,$10.00,C,0.19,VIVALDI-OMNI,Per Unit,0.05,0,0.49,0.54
0,DSmanik,08/09/2021,WEX-SWEEP,s,45,LUXA,LUXA,15/10/2021,$10.00,C,0.1,VIVALDI-OMNI,Per Unit,0.05,0,-0.85,0.81
0,DSmanik,08/09/2021,WEX-SWEEP,s,202,MCMJ,MCMJ,15/10/2021,$10.00,C,0.2,VIVALDI-OMNI,Per Unit,0.05,0,0.85,0.78
