Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge,groupsSeparated
0,05/04/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,374",.VIX,VIX,16/06/2021,$17.00,P,$0.42,UBS-CUST,Per Unit,0.05,0.02,0,$96.1800,"[{""﻿Clearing Fee"":""0"",""Date"":""05/04/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""SLO"",""Exec Qty"":""1,374"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""16/06/2021"",""Strike"":""$17.00"",""Call/Put"":""P"",""Average Price"":""$0.42"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""WEX Connect Rate"":""0.02"",""Exch. Fee Rate"":""0"",""Total Charge"":""$96.1800"",""modifiedDate"":""4/5/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":1374,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""16/6/2021"",""modifiedStrike"":17,""modifiedCallPut"":""p"",""modifiedAveragePrice"":0.42,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":96.18}]"
0,5/28/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"1,692",.VIX,VIX,18/08/2021,$21.00,P,$3.30,UBS-CUST,Per Unit,0.05,0.02,0,$118.4400,"[{""﻿Clearing Fee"":""0"",""Date"":""5/28/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYO"",""Exec Qty"":""1,692"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""18/08/2021"",""Strike"":""$21.00"",""Call/Put"":""P"",""Average Price"":""$3.30"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""WEX Connect Rate"":""0.02"",""Exch. Fee Rate"":""0"",""Total Charge"":""$118.4400"",""modifiedDate"":""28/5/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":1692,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""18/8/2021"",""modifiedStrike"":21,""modifiedCallPut"":""p"",""modifiedAveragePrice"":3.3,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":118.44}]"
0,5/28/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,692",.VIX,VIX,18/08/2021,$21.00,C,$3.80,UBS-CUST,Per Unit,0.05,0.02,0,$118.4400,"[{""﻿Clearing Fee"":""0"",""Date"":""5/28/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""SLO"",""Exec Qty"":""1,692"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""18/08/2021"",""Strike"":""$21.00"",""Call/Put"":""C"",""Average Price"":""$3.80"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""WEX Connect Rate"":""0.02"",""Exch. Fee Rate"":""0"",""Total Charge"":""$118.4400"",""modifiedDate"":""28/5/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":1692,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""18/8/2021"",""modifiedStrike"":21,""modifiedCallPut"":""c"",""modifiedAveragePrice"":3.8,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":118.44}]"
0,5/28/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"3,600",.VIX,VIX,18/08/2021,$25.00,C,$2.80,UBS-CUST,Per Unit,0.05,0.02,0,$252.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""5/28/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYO"",""Exec Qty"":""3,600"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""18/08/2021"",""Strike"":""$25.00"",""Call/Put"":""C"",""Average Price"":""$2.80"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""WEX Connect Rate"":""0.02"",""Exch. Fee Rate"":""0"",""Total Charge"":""$252.0000"",""modifiedDate"":""28/5/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":3600,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""18/8/2021"",""modifiedStrike"":25,""modifiedCallPut"":""c"",""modifiedAveragePrice"":2.8,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":252}]"
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,10,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0,$0.5000,undefined
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,10,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$5.4000,undefined
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,2,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$1.0800,undefined
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,8,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$4.3200,undefined
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,8,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$4.3200,undefined
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,7,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$3.7800,undefined
