Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,10,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0,$0.5000
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,10,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$5.4000
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,2,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$1.0800
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,8,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$4.3200
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,8,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$4.3200
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,7,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$3.7800
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,5,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.49,$2.7000
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,1,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,0.0025,$0.0525
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,3,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,-0.3,$(0.7500)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,10,GSAH,GSAH,16/07/2021,$10.00,C,$0.22,MILTON,Per Unit,0.05,0,0.49,$5.4000
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,4,GSAH,GSAH,16/07/2021,$10.00,C,$0.22,MILTON,Per Unit,0.05,0,0.49,$2.1600
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,3,GSAH,GSAH,16/07/2021,$10.00,C,$0.22,MILTON,Per Unit,0.05,0,0.49,$1.6200
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,3,GSAH,GSAH,16/07/2021,$10.00,C,$0.25,MILTON,Per Unit,0.05,0,-0.42,$(1.1100)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,3,GSAH,GSAH,16/07/2021,$10.00,C,$0.25,MILTON,Per Unit,0.05,0,-0.3,$(0.7500)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,1,GSAH,GSAH,16/07/2021,$10.00,C,$0.25,MILTON,Per Unit,0.05,0,-0.25,$(0.2000)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,2,GSAH,GSAH,16/07/2021,$10.00,C,$0.26,MILTON,Per Unit,0.05,0,-0.3,$(0.5000)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,2,GSAH,GSAH,16/07/2021,$10.00,C,$0.26,MILTON,Per Unit,0.05,0,-0.42,$(0.7400)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,1,GSAH,GSAH,16/07/2021,$10.00,C,$0.24,MILTON,Per Unit,0.05,0,-0.42,$(0.3700)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,1,GSAH,GSAH,16/07/2021,$10.00,C,$0.24,MILTON,Per Unit,0.05,0,-0.3,$(0.2500)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,1,GSAH,GSAH,16/07/2021,$10.00,C,$0.24,MILTON,Per Unit,0.05,0,-0.25,$(0.2000)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,2,GSAH,GSAH,16/07/2021,$10.00,C,$0.24,MILTON,Per Unit,0.05,0,-0.3,$(0.5000)
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,10,GSAH,GSAH,16/07/2021,$10.00,C,$0.23,MILTON,Per Unit,0.05,0,-0.01,$0.4000
0,5/26/2021,DSmanik,WEX-SWEEP,SLO,1,GSAH,GSAH,16/07/2021,$10.00,C,$0.24,MILTON,Per Unit,0.05,0,-0.3,$(0.2500)
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,2,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.1000
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,2,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.1000
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,3,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.1500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,4,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.2000
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,2,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.1000
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,2,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.1000
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.10,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,2,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.1000
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,2,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.1000
0,5/26/2021,DSmanik,CBOE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
0,5/26/2021,DSmanik,ISE-OPT,SLO,1,AAP,AAP,19/11/2021,$165.00,P,$8.20,CITI,Per Unit,0.05,0,0,$0.0500
