Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge,targetId,0.﻿Clearing Fee,0.Date,0.User,0.Route,0.Side,0.Exec Qty,0.Security,0.Root,0.Expiry,0.Strike,0.Call/Put,0.Average Price,0.Portfolio,0.Commission Type,0.Commission Rate,0.Exch\. Fee Rate,0.WEX Connect Rate,0.Total Charge,0.modifiedDate,0.modifiedUser,0.modifiedSide,0.modifiedExecQty,0.modifiedSecurity,0.modifiedRoot,0.modifiedExpiry,0.modifiedStrike,0.modifiedCallPut,0.modifiedAveragePrice,0.modifiedPortfolio,0.modifiedCommissionType,0.modifiedCommissionRate,0.modifiedTotalCharge
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.4000,3/8/2021,dsmanik,s,8,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.4,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,5,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$4.5000,3/8/2021,dsmanik,s,5,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,4.5,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,15,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$13.5000,3/8/2021,dsmanik,s,15,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,13.5,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$1.8000,3/8/2021,dsmanik,s,2,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,1.8,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,7,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.3675,3/8/2021,dsmanik,s,7,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.3675,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,3,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.1200,3/8/2021,dsmanik,s,3,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.12,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,3/8/2021,dsmanik,s,1,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.9,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,3/8/2021,dsmanik,s,1,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.9,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,27,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$24.3000,3/8/2021,dsmanik,s,27,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,24.3,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,6,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$5.4000,3/8/2021,dsmanik,s,6,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,5.4,319922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
