Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,groupsSeparated,key
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,-0.86,0,$(4.0500),"[{""﻿Clearing Fee"":""0"",""Date"":""08/03/2021"",""User"":""DSmanik"",""Route"":""WEX-SWEEP"",""Side"":""BYO"",""Exec Qty"":""5"",""Security"":""CYXT"",""Root"":""CYXT"",""Expiry"":""17/09/2021"",""Strike"":""$7.50"",""Call/Put"":""P"",""Average Price"":""$0.35"",""Portfolio"":""DIFESA-OMNI"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""-0.86"",""WEX Connect Rate"":""0"",""Total Charge"":""$(4.0500)"",""modifiedDate"":""3/8/2021"",""modifiedUser"":""dsmanik"",""modifiedSide"":""b"",""modifiedExecQty"":5,""modifiedSecurity"":""cyxt"",""modifiedRoot"":""cyxt"",""modifiedExpiry"":""17/9/2021"",""modifiedStrike"":7.5,""modifiedCallPut"":""p"",""modifiedAveragePrice"":0.35,""modifiedPortfolio"":""difesa"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":-4.05}]",3/8/2021|b|cyxt|7.5|17/9/2021|p|0.35|5
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,"1,000",GDX,GDX,21/01/2022,$27.00,P,$0.70,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""08/09/2021"",""User"":""DFilippidis"",""Route"":""PHLX-WEX-CONNECT"",""Side"":""SLO"",""Exec Qty"":""1,000"",""Security"":""GDX"",""Root"":""GDX"",""Expiry"":""21/01/2022"",""Strike"":""$27.00"",""Call/Put"":""P"",""Average Price"":""$0.70"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$70.0000"",""modifiedDate"":""9/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":1000,""modifiedSecurity"":""gdx"",""modifiedRoot"":""gdx"",""modifiedExpiry"":""21/1/2022"",""modifiedStrike"":27,""modifiedCallPut"":""p"",""modifiedAveragePrice"":0.7,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":70}]",9/8/2021|s|gdx|27|21/1/2022|p|0.7|1000
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800,"[{""﻿Clearing Fee"":""0"",""Date"":""08/10/2021"",""User"":""DSmanik"",""Route"":""WEX-SWEEP-SPRD"",""Side"":""BYO"",""Exec Qty"":""2"",""Security"":""IPOF"",""Root"":""IPOF"",""Expiry"":""20/08/2021"",""Strike"":""$10.00"",""Call/Put"":""C"",""Average Price"":""$0.02"",""Portfolio"":""VIVALDI-OMNI"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0.49"",""WEX Connect Rate"":""0"",""Total Charge"":""$1.0800"",""modifiedDate"":""10/8/2021"",""modifiedUser"":""dsmanik"",""modifiedSide"":""b"",""modifiedExecQty"":2,""modifiedSecurity"":""ipof"",""modifiedRoot"":""ipof"",""modifiedExpiry"":""20/8/2021"",""modifiedStrike"":10,""modifiedCallPut"":""c"",""modifiedAveragePrice"":0.02,""modifiedPortfolio"":""vivaldi"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":1.08}]",10/8/2021|b|ipof|10|20/8/2021|c|0.02|2
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,175,.VIX,VIX,18/08/2021,$18.00,P,$1.03,UBS-CUST,Per Unit,0.05,0,0.02,$12.2500,"[{""﻿Clearing Fee"":""0"",""Date"":""08/10/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYO"",""Exec Qty"":""175"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""18/08/2021"",""Strike"":""$18.00"",""Call/Put"":""P"",""Average Price"":""$1.03"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$12.2500"",""modifiedDate"":""10/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":175,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""18/8/2021"",""modifiedStrike"":18,""modifiedCallPut"":""p"",""modifiedAveragePrice"":1.03,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":12.25}]",10/8/2021|b|vix|18|18/8/2021|p|1.03|175
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,500,.VIX,VIX,18/08/2021,$20.00,C,$0.66,UBS-CUST,Per Unit,0.05,0,0.02,$35.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""08/10/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYO"",""Exec Qty"":""500"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""18/08/2021"",""Strike"":""$20.00"",""Call/Put"":""C"",""Average Price"":""$0.66"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$35.0000"",""modifiedDate"":""10/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":500,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""18/8/2021"",""modifiedStrike"":20,""modifiedCallPut"":""c"",""modifiedAveragePrice"":0.66,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":35}]",10/8/2021|b|vix|20|18/8/2021|c|0.66|500
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,305,.VIX,VIX,17/11/2021,$23.00,C,$3.90,UBS-CUST,Per Unit,0.05,0,0.02,$21.3500,"[{""﻿Clearing Fee"":""0"",""Date"":""08/10/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYO"",""Exec Qty"":""305"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""17/11/2021"",""Strike"":""$23.00"",""Call/Put"":""C"",""Average Price"":""$3.90"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$21.3500"",""modifiedDate"":""10/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":305,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""17/11/2021"",""modifiedStrike"":23,""modifiedCallPut"":""c"",""modifiedAveragePrice"":3.9,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":21.35}]",10/8/2021|b|vix|23|17/11/2021|c|3.9|305
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"3,000",.VIX,VIX,17/11/2021,$22.00,P,$3.85,UBS-CUST,Per Unit,0.05,0,0.02,$210.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""08/11/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""SLO"",""Exec Qty"":""3,000"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""17/11/2021"",""Strike"":""$22.00"",""Call/Put"":""P"",""Average Price"":""$3.85"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$210.0000"",""modifiedDate"":""11/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":3000,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""17/11/2021"",""modifiedStrike"":22,""modifiedCallPut"":""p"",""modifiedAveragePrice"":3.85,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":210}]",11/8/2021|s|vix|22|17/11/2021|p|3.85|3000
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"1,200",.VIX,VIX,17/11/2021,$23.00,P,$4.62,UBS-CUST,Per Unit,0.05,0,0.02,$84.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""08/11/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYO"",""Exec Qty"":""1,200"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""17/11/2021"",""Strike"":""$23.00"",""Call/Put"":""P"",""Average Price"":""$4.62"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$84.0000"",""modifiedDate"":""11/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":1200,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""17/11/2021"",""modifiedStrike"":23,""modifiedCallPut"":""p"",""modifiedAveragePrice"":4.62,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":84}]",11/8/2021|b|vix|23|17/11/2021|p|4.62|1200
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,200",.VIX,VIX,17/11/2021,$23.00,C,$3.78,UBS-CUST,Per Unit,0.05,0,0.02,$84.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""08/11/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""SLO"",""Exec Qty"":""1,200"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""17/11/2021"",""Strike"":""$23.00"",""Call/Put"":""C"",""Average Price"":""$3.78"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$84.0000"",""modifiedDate"":""11/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":1200,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""17/11/2021"",""modifiedStrike"":23,""modifiedCallPut"":""c"",""modifiedAveragePrice"":3.78,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":84}]",11/8/2021|s|vix|23|17/11/2021|c|3.78|1200
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,500",.VIX,VIX,20/10/2021,$20.00,P,$2.88,UBS-CUST,Per Unit,0.05,0,0.02,$105.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""08/12/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""SLO"",""Exec Qty"":""1,500"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""20/10/2021"",""Strike"":""$20.00"",""Call/Put"":""P"",""Average Price"":""$2.88"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$105.0000"",""modifiedDate"":""12/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":1500,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""20/10/2021"",""modifiedStrike"":20,""modifiedCallPut"":""p"",""modifiedAveragePrice"":2.88,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":105}]",12/8/2021|s|vix|20|20/10/2021|p|2.88|1500
