Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge,removed
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),2/8/2021,dsmanik,s,1,ipof,ipof,17/9/2021,10,c,0.11,vivaldi,per unit,0.05,-0.2,undefined
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.42,0,$(0.7400),2/8/2021,dsmanik,s,2,ipof,ipof,17/9/2021,10,c,0.11,vivaldi,per unit,0.05,-0.74,undefined
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),2/8/2021,dsmanik,s,1,ipof,ipof,17/9/2021,10,c,0.11,vivaldi,per unit,0.05,-0.2,undefined
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(0.5000),2/8/2021,dsmanik,s,2,ipof,ipof,17/9/2021,10,c,0.11,vivaldi,per unit,0.05,-0.5,undefined
0,08/02/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,-0.25,0,$(0.2000),2/8/2021,dsmanik,s,1,ipof,ipof,17/9/2021,10,c,0.11,vivaldi,per unit,0.05,-0.2,undefined
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,500,EEM,EEM,20/01/2023,$40.00,P,$1.83,UBS-CUST,Per Unit,0.05,0,0.02,$35.0000,2/8/2021,dfilippidis,b,500,eem,eem,20/1/2023,40,p,1.83,ubs,per unit,0.05,35,undefined
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,17/06/2022,$35.00,P,$4.10,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,2/8/2021,dfilippidis,b,1000,gdx,gdx,17/6/2022,35,p,4.1,ubs,per unit,0.05,70,undefined
0,08/02/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,17/06/2022,$35.00,C,$3.95,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,2/8/2021,dfilippidis,b,1000,gdx,gdx,17/6/2022,35,c,3.95,ubs,per unit,0.05,70,undefined
0,08/02/2021,DFilippidis,AWAY-MIZUHO-OSCARGRUSS,BYO,300,PYPL,PYPL,20/08/2021,$270.00,P,$5.65,MIZUHO,Per Unit,0.05,0,0.02,$21.0000,2/8/2021,dfilippidis,b,300,pypl,pypl,20/8/2021,270,p,5.65,mizuho,per unit,0.05,21,undefined
0,08/02/2021,DFilippidis,WEX-SWEEP,SLO,-7,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.3500),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,-0.35,true
0,08/02/2021,DFilippidis,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.3500,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.35,true
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$5.5000,3/8/2021,dsmanik,s,10,ipof,ipof,17/9/2021,10,c,0.1,vivaldi,per unit,0.05,5.5,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.2000,3/8/2021,dsmanik,s,4,ipof,ipof,17/9/2021,10,c,0.1,vivaldi,per unit,0.05,2.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.4000,3/8/2021,dsmanik,s,8,ipof,ipof,17/9/2021,10,c,0.1,vivaldi,per unit,0.05,4.4,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$1.1000,3/8/2021,dsmanik,s,2,ipof,ipof,17/9/2021,10,c,0.1,vivaldi,per unit,0.05,1.1,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.9500,3/8/2021,dsmanik,s,9,ipof,ipof,17/9/2021,10,c,0.1,vivaldi,per unit,0.05,4.95,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,3/8/2021,dsmanik,s,1,ipof,ipof,17/9/2021,10,c,0.1,vivaldi,per unit,0.05,0.55,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.2000,3/8/2021,dsmanik,s,4,ipof,ipof,17/9/2021,10,c,0.1,vivaldi,per unit,0.05,2.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.3,0,$(0.2500),3/8/2021,dsmanik,s,1,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,-0.25,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0.48,0,$4.2400,3/8/2021,dsmanik,s,8,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,4.24,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800,3/8/2021,dsmanik,s,2,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,1.08,undefined
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,40,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$2.1000,3/8/2021,dsmanik,s,40,luxa,luxa,15/10/2021,10,c,0.17,milton,per unit,0.05,2.1,undefined
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,29,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$1.5225,3/8/2021,dsmanik,s,29,luxa,luxa,15/10/2021,10,c,0.17,milton,per unit,0.05,1.5225,undefined
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,56,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$2.9400,3/8/2021,dsmanik,s,56,luxa,luxa,15/10/2021,10,c,0.17,milton,per unit,0.05,2.94,undefined
0,08/03/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,700,PSTG,PSTG,20/01/2023,$17.50,P,$3.00,UBS-CUST,Per Unit,0.05,0,0.02,$49.0000,3/8/2021,dfilippidis,b,700,pstg,pstg,20/1/2023,17.5,p,3,ubs,per unit,0.05,49,undefined
0,08/03/2021,DSmanik,WEX-SWEEP-SPRD,SLO,28,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0.0025,0,$1.4700,3/8/2021,dsmanik,s,28,luxa,luxa,15/10/2021,10,c,0.17,milton,per unit,0.05,1.47,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,8,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$7.2000,3/8/2021,dsmanik,b,8,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,7.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,8,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$7.2000,3/8/2021,dsmanik,b,8,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,7.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,16,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$14.4000,3/8/2021,dsmanik,b,16,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,14.4,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,3,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$2.7000,3/8/2021,dsmanik,b,3,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,2.7,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$4.5000,3/8/2021,dsmanik,b,5,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,4.5,undefined
