Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedTotalCharge,removed,targetId
0,08/02/2021,DFilippidis,WEX-SWEEP,SLO,-7,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.3500),-0.35,true,undefined
0,08/02/2021,DFilippidis,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.3500,0.35,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,BYO,-500,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(25.0000),-25,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,BYO,500,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$25.0000,25,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,BYO,-5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.2500),-0.25,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$0.2500,0.25,true,undefined
0,08/03/2021,DFilippidis,WEX-BESTX-OPT,BYO,-1,SPAK,SPAK,17/09/2021,$20.00,P,$0.45,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.0500),-0.05,true,undefined
0,08/03/2021,DFilippidis,WEX-BESTX-OPT,BYO,1,SPAK,SPAK,17/09/2021,$20.00,P,$0.45,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$0.0500,0.05,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,-20,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.0000),-1,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,-180,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(9.0000),-9,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,20,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$1.0000,1,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,180,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$9.0000,9,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,-68,IPOF,IPOF,17/09/2021,$10.00,C,$0.09,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(3.4000),-3.4,true,undefined
0,08/03/2021,DFilippidis,WEX-SWEEP,SLO,68,IPOF,IPOF,17/09/2021,$10.00,C,$0.09,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$3.4000,3.4,true,undefined
0,08/04/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-261,LUXA,LUXA,15/10/2021,$10.00,C,$0.13,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(13.0500),-13.05,true,undefined
0,08/04/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-29,LUXA,LUXA,15/10/2021,$10.00,C,$0.13,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.4500),-1.45,true,undefined
