Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge,modifiedTotalCharge,removed,targetId
0,06/09/2021,DFilippidis,,SLO,"-1,000",IPOF,IPOF,20/08/2021,$10.00,C,$0.57,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(50.0000),-50,true,undefined
0,06/09/2021,DFilippidis,,SLO,"1,000",IPOF,IPOF,20/08/2021,$10.00,C,$0.57,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$50.0000,50,true,undefined
0,06/10/2021,DFilippidis,,SLO,"-1,000",IPOF,IPOF,20/08/2021,$10.00,C,$0.52,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(50.0000),-50,true,undefined
0,06/10/2021,DFilippidis,,SLO,"1,000",IPOF,IPOF,20/08/2021,$10.00,C,$0.52,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$50.0000,50,true,undefined
0,06/11/2021,DFilippidis,WEX-SWEEP,SLO,-20,PRPB,PRPB,20/08/2021,$10.00,C,$0.15,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.0000),-1,true,undefined
0,06/11/2021,DFilippidis,WEX-SWEEP,SLO,20,PRPB,PRPB,20/08/2021,$10.00,C,$0.15,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$1.0000,1,true,undefined
0,6/14/2021,DFilippidis,,SLO,-69,CCV,CCV,20/08/2021,$10.00,C,$0.67,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(3.4500),-3.45,true,undefined
0,6/14/2021,DFilippidis,,SLO,-620,CCV,CCV,20/08/2021,$10.00,C,$0.67,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(31.0000),-31,true,undefined
0,6/14/2021,DFilippidis,,SLO,69,CCV,CCV,20/08/2021,$10.00,C,$0.67,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$3.4500,3.45,true,undefined
0,6/14/2021,DFilippidis,,SLO,620,CCV,CCV,20/08/2021,$10.00,C,$0.67,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$31.0000,31,true,undefined
0,6/15/2021,DFilippidis,WEX-SWEEP,SLO,-1,CCV,CCV,20/08/2021,$10.00,C,$0.45,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.0500),-0.05,true,undefined
0,6/15/2021,DFilippidis,WEX-SWEEP,SLO,1,CCV,CCV,20/08/2021,$10.00,C,$0.45,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.0500,0.05,true,undefined
0,6/15/2021,DFilippidis,WEX-SWEEP,SLO,-11,IPOF,IPOF,20/08/2021,$10.00,C,$0.44,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.5500),-0.55,true,undefined
0,6/15/2021,DFilippidis,WEX-SWEEP,SLO,11,IPOF,IPOF,20/08/2021,$10.00,C,$0.44,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.5500,0.55,true,undefined
0,6/15/2021,DFilippidis,,SLO,"-2,093",GSAH,GSAH,20/08/2021,$10.00,C,$0.27,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(104.6500),-104.65,true,undefined
0,6/15/2021,DFilippidis,,SLO,"2,093",GSAH,GSAH,20/08/2021,$10.00,C,$0.27,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$104.6500,104.65,true,undefined
0,6/16/2021,DFilippidis,WEX-SWEEP,SLO,-11,GSAH,GSAH,20/08/2021,$10.00,C,$0.24,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.5500),-0.55,true,undefined
0,6/16/2021,DFilippidis,WEX-SWEEP,SLO,11,GSAH,GSAH,20/08/2021,$10.00,C,$0.24,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.5500,0.55,true,undefined
