Exch\. Fee Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Clearing Fee,Total Charge
0,4/21/2021,EMureau,CBOE-OPT,SLO,6,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.3000
0,4/21/2021,EMureau,ISE-OPT,SLO,25,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$1.2500
0,4/21/2021,EMureau,CBOE-OPT,SLO,7,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.3500
0,4/21/2021,EMureau,CBOE-OPT,SLO,18,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.9000
0,4/21/2021,EMureau,CBOE-OPT,SLO,12,F,F,18/06/2021,$11.00,P,$0.44,CITI,Per Unit,0.05,0,0,$0.6000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,10,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.5000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,6,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.3000
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,9,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.4500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,10,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.5000
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,7,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.3500
0,4/30/2021,EMureau,ISE-OPT,SLO,7,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.3500
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,12,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.6000
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
